Table S3. Phage taxonomy.				
Phage ID	E-value	Score	Taxonomy/LastCommonAncestor	
IMGVR_UViG_3300002596_000151|3300002596|draft_1003227	1.30E-30	87.7	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300002701_000146|3300002701|draft_1439024	5.30E-12	87.7	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300002895_000012|3300002895|MAL_1000020|176122-225913	9.30E-11	414.8	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300003690_003732|3300003690|PicViral_1000104|45119-56280	1.00E-10	500.9	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300003691_000037|3300003691|JT63_1000192	2.40E-10	474.6	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae	
IMGVR_UViG_3300003702_000009|3300003702|PicMicro_10000913	5.80E-26	431.7	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300003771_000097|3300003771|Ga0055526_1000002|289621-410050	1.30E-25	623.9	Viruses	
IMGVR_UViG_3300003773_000043|3300003773|Ga0055537_1000001|161548-281977	1.50E-10	623.9	Viruses	
IMGVR_UViG_3300003775_000065|3300003775|Ga0055524_1000001|161548-281977	1.80E-07	623.9	Viruses	
IMGVR_UViG_3300003784_000077|3300003784|Ga0055534_1000001|161412-281841	7.60E-07	623.9	Viruses	
IMGVR_UViG_3300003791_000029|3300003791|Ga0055530_10000329	9.20E-06	560.2	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300003856_000072|3300003856|Ga0058692_1000148|154-20077	3.20E-09	793.5	Viruses	
IMGVR_UViG_3300003887_000039|3300003887|Ga0062443_1002609	6.40E-145	138.3	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300003888_000047|3300003888|Ga0062442_1000857	4.60E-07	138.3	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300003889_000028|3300003889|Ga0062441_1004148	3.10E-85	138.3	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300003973_000096|3300003973|Ga0063521_1000107|2742-46953	6.00E-13	512.6	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300004189_000027|3300004189|Ga0066443_100011|10532-49225	3.30E-12	401.8	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300004222_000004|3300004222|Ga0066479_1000066	7.20E-31	401.8	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300004226_000021|3300004226|Ga0066451_1000001|10484-49177	2.30E-17	401.8	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300004229_000029|3300004229|Ga0066463_1000007|7654-46347	2.80E-16	401.8	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300004241_000002|3300004241|Ga0066604_10000029	2.50E-09	1120.6	Viruses	
IMGVR_UViG_3300004247_000011|3300004247|Ga0066471_100034	7.40E-46	401.8	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300004769_000310|3300004769|Ga0007748_10018288	6.30E-31	267.6	Viruses;Riboviria	
IMGVR_UViG_3300004833_000004|3300004833|Ga0071101_100027	6.50E-49	532.3	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300004889_000002|3300004889|Ga0068284_100022	2.30E-30	261.7	Viruses	
IMGVR_UViG_3300005043_000095|3300005043|Ga0071100_1000519	2.70E-22	378.5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300005043_000142|3300005043|Ga0071100_1000001|176813-230189	4.30E-19	412.5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300005261_000040|3300005261|Ga0071345_1002439	1.30E-18	138.3	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300005288_000261|3300005288|Ga0065714_10065414	2.70E-16	276.2	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300005295_000594|3300005295|Ga0065707_10081726|14764-55158	2.80E-15	383	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300005313_000019|3300005313|Ga0074307_1030088	8.40E-15	868.8	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300005326_000235|3300005326|Ga0074195_1000676|43497-52429	4.60E-13	162.2	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300005412_000029|3300005412|Ga0008837_100544|392-11159	4.80E-13	505.4	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300005471_000014|3300005471|Ga0070698_100000111	8.70E-09	198.3	Viruses	
IMGVR_UViG_3300005529_000034|3300005529|Ga0070741_10001619	1.60E-07	296.7	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300005529_001081|3300005529|Ga0070741_10000052|12271-67644	1.40E-06	474.8	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300005533_000004|3300005533|Ga0070734_10000920	2.00E-06	226.1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300005578_000205|3300005578|Ga0068854_100000029|36339-73092	1.30E-13	1953.5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Peduoviridae	
IMGVR_UViG_3300005588_000064|3300005588|Ga0070728_10001480	2.70E-35	443.5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300005589_000100|3300005589|Ga0070729_10002381	3.90E-24	443.5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300005607_000344|3300005607|Ga0070740_10000910	5.00E-08	470.8	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300005609_000050|3300005609|Ga0070724_10001569	2.40E-07	491.5	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300005609_000235|3300005609|Ga0070724_10004678	7.90E-16	492.4	Viruses	
IMGVR_UViG_3300005617_000001|3300005617|Ga0068859_100000022	7.10E-13	488.1	Viruses	
IMGVR_UViG_3300005617_000009|3300005617|Ga0068859_100000169	8.70E-12	292.7	Viruses	
IMGVR_UViG_3300005662_000031|3300005662|Ga0078894_10000029	5.50E-07	372	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300005733_000037|3300005733|Ga0076921_102216|49483-88608	5.00E-37	495.1	Viruses;Duplodnaviria;Heunggongvirae	
IMGVR_UViG_3300005734_000009|3300005734|Ga0076922_101392|2-39127	1.60E-12	495.1	Viruses;Duplodnaviria;Heunggongvirae	
IMGVR_UViG_3300005736_000022|3300005736|Ga0076928_1009239|80981-120106	3.20E-53	495.1	Viruses;Duplodnaviria;Heunggongvirae	
IMGVR_UViG_3300005737_000069|3300005737|Ga0076927_100686|1-39126	2.40E-08	495.1	Viruses;Duplodnaviria;Heunggongvirae	
IMGVR_UViG_3300005961_000030|3300005961|Ga0075157_10000377	1.90E-111	741.7	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300005982_000015|3300005982|Ga0075156_10000093	2.20E-100	741.7	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300005986_000284|3300005986|Ga0075152_10000135|10525-50243	3.30E-25	741.7	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300005987_001078|3300005987|Ga0075158_10000280	2.20E-22	741.7	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300005988_000742|3300005988|Ga0075160_10000114|7824-47743	4.80E-32	741.7	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300005989_000363|3300005989|Ga0075154_10000002|184440-224158	1.60E-22	741.7	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006021_000031|3300006021|Ga0058700_1000287	3.10E-115	382.6	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006056_000074|3300006056|Ga0075163_10000756	8.80E-156	120.4	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006056_000076|3300006056|Ga0075163_10000833	7.10E-16	741.7	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006058_000055|3300006058|Ga0075432_10000979	2.30E-12	210	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300006139_000344|3300006139|Ga0080702_1000171	6.70E-11	379.5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006139_000509|3300006139|Ga0080702_1000115	2.20E-09	417	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006140_000155|3300006140|Ga0080703_1000233	1.40E-08	335.8	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006141_000103|3300006141|Ga0080704_1000260	2.40E-12	264.1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006141_000516|3300006141|Ga0080704_1000239	7.00E-09	223	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pagevirus	
IMGVR_UViG_3300006146_000109|3300006146|Ga0080709_1000249	1.70E-19	335.8	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006147_000057|3300006147|Ga0080710_1000499	8.50E-42	379.5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006148_000188|3300006148|Ga0080711_1000239	1.30E-17	273.8	Viruses	
IMGVR_UViG_3300006149_000036|3300006149|Ga0080712_1000225	4.10E-63	1196.2	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006150_000146|3300006150|Ga0080713_1000305	3.40E-35	335.8	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006151_000035|3300006151|Ga0081143_1000176	6.00E-30	264.1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006151_000093|3300006151|Ga0081143_1000391	7.10E-14	326.8	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006153_000087|3300006153|Ga0081174_1000372	1.70E-11	379.5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006201_000048|3300006201|Ga0081180_1000275	1.60E-22	264.1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006217_000144|3300006217|Ga0081461_1002397	1.90E-14	363.1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006217_000158|3300006217|Ga0081461_1002471	2.50E-09	264.1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006217_000167|3300006217|Ga0081461_1002550	6.20E-08	1196.2	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006217_000172|3300006217|Ga0081461_1002597	8.50E-08	322.3	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006217_002081|3300006217|Ga0081461_1002309	2.50E-06	288.6	Viruses	
IMGVR_UViG_3300006217_002156|3300006217|Ga0081461_1000952	1.10E-141	417	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006236_000535|3300006236|Ga0082396_100002	4.20E-11	958.7	Viruses	
IMGVR_UViG_3300006236_000537|3300006236|Ga0082396_100001	2.60E-76	958.7	Viruses	
IMGVR_UViG_3300006254_000191|3300006254|Ga0099365_1000005|11000-68698	1.70E-08	472.9	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006255_000105|3300006255|Ga0099353_1000044	6.60E-08	557.6	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006258_000004|3300006258|Ga0099398_100077	1.90E-07	269.2	Viruses	
IMGVR_UViG_3300006289_000219|3300006289|Ga0099614_100177|5744-59247	1.10E-06	472.9	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006463_000008|3300006463|Ga0100176_1000100	1.50E-06	559.6	Viruses	
IMGVR_UViG_3300006467_000381|3300006467|Ga0099972_12407345	3.50E-39	443.5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006467_001658|3300006467|Ga0099972_12358135	2.10E-19	1097.9	Viruses	
IMGVR_UViG_3300006477_000194|3300006477|Ga0100232_100016|49073-119250	3.20E-18	472.9	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006501_000006|3300006501|Ga0100527_10013|22604-48313	6.00E-18	274.8	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006502_000007|3300006502|Ga0100528_100087	7.80E-07	738.6	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006524_000296|3300006524|Ga0101033_100055|5721-59224	2.60E-35	472.9	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006568_000024|3300006568|Ga0100215_100732	1.90E-90	426.6	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006678_000241|3300006678|Ga0100058_100007|213086-268809	1.10E-14	472.9	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006736_000001|3300006736|Ga0098033_1000125	1.40E-59	304.2	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006742_000101|3300006742|Ga0101805_100050	8.10E-21	483.4	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006802_000084|3300006802|Ga0070749_10000012	1.70E-11	480.6	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006802_000206|3300006802|Ga0070749_10000166	4.70E-30	518.9	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006802_016159|3300006802|Ga0070749_10000015	7.80E-20	496.3	Viruses	
IMGVR_UViG_3300006846_000028|3300006846|Ga0075430_100000147	5.00E-17	332	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Siphoviridae	
IMGVR_UViG_3300006853_000025|3300006853|Ga0075420_100000185	9.80E-16	332	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Siphoviridae	
IMGVR_UViG_3300006854_000015|3300006854|Ga0075425_100000377	2.60E-15	369.5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300006931_000009|3300006931|Ga0097620_100000169	5.60E-14	292.7	Viruses	
IMGVR_UViG_3300006931_000029|3300006931|Ga0097620_100000022	2.40E-13	488.1	Viruses	
IMGVR_UViG_3300006946_000154|3300006946|Ga0079104_1000589	2.80E-13	782.4	Viruses	
IMGVR_UViG_3300006946_000202|3300006946|Ga0079104_1002730	8.70E-13	599.7	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300007076_000004|3300007076|Ga0075435_100000139	2.20E-11	369.5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007096_000107|3300007096|Ga0102538_100113	4.10E-11	448.2	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007098_000116|3300007098|Ga0102540_100402	1.10E-09	433.7	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007107_000268|3300007107|Ga0102632_1000048	1.80E-07	472.9	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007107_000299|3300007107|Ga0102632_1000048|16956-69131	4.10E-06	472.9	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007122_000075|3300007122|Ga0102683_100093	4.30E-19	289.5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Winoviridae	
IMGVR_UViG_3300007124_000010|3300007124|Ga0102685_100248	1.80E-31	372.3	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007124_000295|3300007124|Ga0102685_100099|26130-66564	1.30E-204	472.9	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007125_000359|3300007125|Ga0102700_1000222	3.00E-46	472.9	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007204_000105|3300007204|Ga0103275_100128	4.90E-07	670.1	Viruses	
IMGVR_UViG_3300007206_000013|3300007206|Ga0103276_1000124	3.00E-25	328.7	Viruses	
IMGVR_UViG_3300007292_000054|3300007292|Ga0104320_100231	2.80E-18	269.6	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007300_000201|3300007300|Ga0104843_100211|2-41902	7.50E-14	524	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007318_000111|3300007318|Ga0104925_100107	1.40E-06	325.7	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007358_000216|3300007358|Ga0104765_102014	2.80E-12	184.1	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300007507_000033|3300007507|Ga0105008_1002770	9.20E-08	625	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300007524_000021|3300007524|Ga0105481_1000366	1.60E-41	420.5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007531_000132|3300007531|Ga0105502_1000115|3532-13125	1.60E-19	193.9	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300007669_000001|3300007669|Ga0105546_100018	4.40E-11	955	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007717_000396|3300007717|Ga0105662_100064|20428-75280	5.80E-34	293.2	Viruses	
IMGVR_UViG_3300007742_000158|3300007742|Ga0105758_1000601	1.00E-18	232.8	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007742_000427|3300007742|Ga0105758_1000029|15-173185	1.30E-07	743.2	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007747_000018|3300007747|Ga0101111_1000164	3.50E-06	1048.2	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007747_000054|3300007747|Ga0101111_1001171|11034-19852	5.80E-25	656.4	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300007753_000059|3300007753|Ga0105778_100078	6.10E-32	334.4	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007796_000297|3300007796|Ga0105889_100206|40829-80035	2.20E-31	410.3	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007802_000182|3300007802|Ga0105667_100082	6.80E-17	294.7	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007802_000286|3300007802|Ga0105667_100082|3-102830	1.20E-56	294.7	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007938_000035|3300007938|Ga0114251_100071	2.90E-22	224.5	Viruses	
IMGVR_UViG_3300007963_003535|3300007963|Ga0110931_1000905	1.20E-19	503.1	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	
IMGVR_UViG_3300007966_000181|3300007966|Ga0105959_100085|13540-71975	3.40E-14	472.9	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007979_000095|3300007979|Ga0114002_100253	1.30E-09	525.7	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007988_000039|3300007988|Ga0100402_1000720	1.20E-06	426.6	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300007997_000189|3300007997|Ga0111053_100050|18234-62169	7.40E-58	359.2	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300008007_000346|3300008007|Ga0100386_10000268	7.50E-22	374	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300008012_000035|3300008012|Ga0075480_10000035	6.00E-43	379.5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300008058_000116|3300008058|Ga0114167_101000	2.20E-25	203.8	Viruses	
IMGVR_UViG_3300008077_000262|3300008077|Ga0105964_1000204	2.30E-06	367.4	Viruses	
IMGVR_UViG_3300008081_000038|3300008081|Ga0113559_101176	8.60E-10	426.6	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300008091_000195|3300008091|Ga0105975_100179	8.10E-26	472.9	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300008107_000316|3300008107|Ga0114340_1000493	5.10E-17	671.9	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	
IMGVR_UViG_3300008109_000008|3300008109|Ga0114342_1000395	9.30E-08	326.8	Viruses	
