ID	source	start	end	strand
ID_45	IMGVR_UViG_3300041411	33417	34112	-
ID_46	IMGVR_UViG_3300041411	34241	34537	+
ID_47	IMGVR_UViG_3300041411	35022	35528	+
ID_48	IMGVR_UViG_3300041411	36110	36283	+
ID_49	IMGVR_UViG_3300041411	36384	37055	+
ID_50	IMGVR_UViG_3300010939	1	267	+
ID_51	IMGVR_UViG_3300010939	538	1224	+
ID_52	IMGVR_UViG_3300010939	1577	2203	+
ID_53	IMGVR_UViG_3300010939	2851	3819	-
ID_54	IMGVR_UViG_3300010939	4295	4876	-
ID_55	IMGVR_UViG_3300010939	4876	7248	-
ID_56	IMGVR_UViG_3300010939	7302	7544	-
ID_57	IMGVR_UViG_3300010939	7583	8458	-
ID_58	IMGVR_UViG_3300010939	8485	10932	-
ID_59	IMGVR_UViG_3300010939	11004	11546	-
ID_60	IMGVR_UViG_3300010939	11606	12343	-
ID_61	IMGVR_UViG_3300010939	12353	13048	-
ID_62	IMGVR_UViG_3300010939	13138	13671	+
ID_63	IMGVR_UViG_3300010939	13788	14285	-
ID_64	IMGVR_UViG_3300010939	14384	14716	-
ID_65	IMGVR_UViG_3300010939	14713	17799	-
ID_66	IMGVR_UViG_3300010939	17780	18031	-
ID_67	IMGVR_UViG_3300010939	18106	18504	-
ID_68	IMGVR_UViG_3300010939	18550	19299	-
ID_69	IMGVR_UViG_3300010939	19311	19712	-
ID_70	IMGVR_UViG_3300010939	19709	20275	-
ID_71	IMGVR_UViG_3300010939	20256	20522	-
ID_72	IMGVR_UViG_3300010939	20548	20871	-
ID_73	IMGVR_UViG_3300010939	20962	23016	-
ID_74	IMGVR_UViG_3300010939	22967	24514	-
ID_75	IMGVR_UViG_3300010939	24511	24717	-
ID_76	IMGVR_UViG_3300010939	24714	26849	-
ID_77	IMGVR_UViG_3300010939	26809	27342	-
ID_78	IMGVR_UViG_3300010939	27550	28050	-
ID_79	IMGVR_UViG_3300010939	28047	28499	-
ID_80	IMGVR_UViG_3300010939	28483	28818	-
ID_81	IMGVR_UViG_3300010939	29262	29774	+
ID_82	IMGVR_UViG_3300010939	29781	29918	-
ID_83	IMGVR_UViG_3300010939	30135	30584	+
ID_84	IMGVR_UViG_3300010939	30720	30845	-
ID_85	IMGVR_UViG_3300010939	31403	32200	-
ID_86	IMGVR_UViG_3300010939	32190	32336	-
ID_87	IMGVR_UViG_3300010939	32333	32944	-
ID_88	IMGVR_UViG_3300010939	32947	33153	-
ID_89	IMGVR_UViG_3300010939	33153	33755	-
ID_90	IMGVR_UViG_3300010939	34171	34404	-
ID_91	IMGVR_UViG_3300010939	34696	34965	-
ID_92	IMGVR_UViG_3300010939	35064	35375	-
ID_93	IMGVR_UViG_3300010939	35372	35719	-
ID_94	IMGVR_UViG_3300010939	35730	36479	-
ID_95	IMGVR_UViG_3300010939	36482	37459	-
ID_96	IMGVR_UViG_3300010939	37550	37660	-
ID_97	IMGVR_UViG_3300012840	1	183	-
ID_98	IMGVR_UViG_3300012840	280	1452	-
ID_99	IMGVR_UViG_3300012840	1502	1990	-
ID_100	IMGVR_UViG_3300012840	2626	4215	+
ID_101	IMGVR_UViG_3300012840	4306	4836	+
ID_102	IMGVR_UViG_3300012840	5637	6272	+
ID_103	IMGVR_UViG_3300012840	6311	6523	-
ID_104	IMGVR_UViG_3300012840	6567	7205	-
ID_105	IMGVR_UViG_3300012840	7207	7764	-
ID_106	IMGVR_UViG_3300012840	7882	8751	-
ID_107	IMGVR_UViG_3300012840	8859	9023	-
ID_108	IMGVR_UViG_3300012840	9870	10328	+
ID_109	IMGVR_UViG_3300012840	10462	10710	+
ID_110	IMGVR_UViG_3300012840	10719	10904	+
ID_111	IMGVR_UViG_3300012840	10897	11049	+
ID_112	IMGVR_UViG_3300012840	11159	11527	+
ID_113	IMGVR_UViG_3300012840	11718	13658	+
ID_114	IMGVR_UViG_3300012840	13704	14204	+
ID_115	IMGVR_UViG_3300012840	14207	15736	+
ID_116	IMGVR_UViG_3300012840	15748	17580	+
ID_117	IMGVR_UViG_3300012840	17661	17948	+
ID_118	IMGVR_UViG_3300012840	17932	18348	+
ID_119	IMGVR_UViG_3300012840	18350	19762	+
ID_120	IMGVR_UViG_3300012840	19806	22973	+
ID_121	IMGVR_UViG_3300012840	22999	23790	+
ID_122	IMGVR_UViG_3300012840	23868	24626	+
ID_123	IMGVR_UViG_3300012840	24697	25020	+
ID_124	IMGVR_UViG_3300012840	25038	25403	+
ID_125	IMGVR_UViG_3300012840	25390	27561	+
ID_126	IMGVR_UViG_3300012840	27617	28180	+
ID_127	IMGVR_UViG_3300012840	28180	28833	+
ID_128	IMGVR_UViG_3300012840	28870	29313	+
ID_129	IMGVR_UViG_3300012840	29304	33062	+
ID_130	IMGVR_UViG_3300012840	33148	33408	+
ID_131	IMGVR_UViG_3300012840	33383	33562	+
ID_132	IMGVR_UViG_3300012840	33563	34156	+
ID_133	IMGVR_UViG_3300012840	34156	34476	+
ID_134	IMGVR_UViG_3300012840	34486	34851	+
ID_135	IMGVR_UViG_3300012840	34898	36604	-
ID_136	IMGVR_UViG_3300012840	36700	37098	-
ID_137	IMGVR_UViG_3300012840	37268	37876	-
ID_138	IMGVR_UViG_3300012840	37919	39082	-
ID_139	IMGVR_UViG_3300047501	1	636	+
ID_140	IMGVR_UViG_3300047501	1239	2501	-
ID_141	IMGVR_UViG_3300047501	2733	4124	-
ID_142	IMGVR_UViG_3300047501	4389	5483	-
ID_143	IMGVR_UViG_3300047501	5467	7641	-
ID_144	IMGVR_UViG_3300047501	7631	7735	-
ID_145	IMGVR_UViG_3300047501	7890	8417	-
ID_146	IMGVR_UViG_3300047501	8437	9486	-
ID_147	IMGVR_UViG_3300047501	9593	9856	-
ID_148	IMGVR_UViG_3300047501	9994	10179	-
ID_149	IMGVR_UViG_3300047501	10312	11517	-
ID_150	IMGVR_UViG_3300047501	11514	11744	-
ID_151	IMGVR_UViG_3300047501	11746	11940	+
ID_152	IMGVR_UViG_3300047501	12189	12464	+
ID_153	IMGVR_UViG_3300047501	12427	13542	+
ID_154	IMGVR_UViG_3300047501	13610	14704	+
ID_155	IMGVR_UViG_3300047501	14729	16660	-
ID_156	IMGVR_UViG_3300047501	17097	17417	-
ID_157	IMGVR_UViG_3300047501	17432	17761	-
ID_158	IMGVR_UViG_3300047501	18139	20451	-
ID_159	IMGVR_UViG_3300022862	17	1183	-
ID_160	IMGVR_UViG_3300022862	1199	1558	-
ID_161	IMGVR_UViG_3300022862	1697	2161	-
ID_162	IMGVR_UViG_3300022862	2169	2702	-
ID_163	IMGVR_UViG_3300022862	2744	3358	-
ID_164	IMGVR_UViG_3300022862	3368	4822	-
ID_165	IMGVR_UViG_3300022862	4819	6234	-
ID_166	IMGVR_UViG_3300022862	6227	7117	-
ID_167	IMGVR_UViG_3300022862	7199	7645	-
ID_168	IMGVR_UViG_3300022862	7659	8150	-
ID_169	IMGVR_UViG_3300022862	8143	8649	-
ID_170	IMGVR_UViG_3300022862	8646	9281	-
ID_171	IMGVR_UViG_3300022862	9281	9556	-
ID_172	IMGVR_UViG_3300022862	9549	9905	-
ID_173	IMGVR_UViG_3300022862	9907	10122	-
ID_174	IMGVR_UViG_3300022862	10122	10589	-
ID_175	IMGVR_UViG_3300022862	10693	11400	-
ID_176	IMGVR_UViG_3300022862	11405	12427	-
ID_177	IMGVR_UViG_3300022862	12461	13330	-
ID_178	IMGVR_UViG_3300022862	13548	15242	+
ID_179	IMGVR_UViG_3300022862	15242	16252	+
ID_180	IMGVR_UViG_3300022862	16424	17125	+
ID_181	IMGVR_UViG_3300022862	17184	17810	-
ID_182	IMGVR_UViG_3300022862	18480	19145	-
ID_183	IMGVR_UViG_3300022862	19256	19756	+
ID_184	IMGVR_UViG_3300022862	20271	22745	+
ID_185	IMGVR_UViG_3300022862	22857	23489	+
ID_186	IMGVR_UViG_3300022862	23722	24918	-
ID_187	IMGVR_UViG_3300022862	24918	25139	-
ID_188	IMGVR_UViG_3300022862	25332	25616	-
ID_189	IMGVR_UViG_3300022862	25613	25993	-
ID_190	IMGVR_UViG_3300022862	25986	26393	-
ID_191	IMGVR_UViG_3300022862	26464	26736	-
ID_192	IMGVR_UViG_3300022862	26733	26969	-
ID_193	IMGVR_UViG_3300022862	27352	27639	+
ID_194	IMGVR_UViG_3300022862	27715	28017	+
ID_195	IMGVR_UViG_3300022862	28021	28212	+
ID_196	IMGVR_UViG_3300022862	28218	30920	-
ID_197	IMGVR_UViG_3300022862	30928	31146	-
ID_198	IMGVR_UViG_3300022862	31143	31463	-
ID_199	IMGVR_UViG_3300022862	31475	31801	-
ID_200	IMGVR_UViG_3300022862	31811	32026	-
ID_201	IMGVR_UViG_3300022862	32111	32578	+
ID_202	IMGVR_UViG_3300022862	32659	33657	-
ID_203	IMGVR_UViG_3300022862	33654	34052	-
ID_204	IMGVR_UViG_3300022862	34064	36931	-
ID_205	IMGVR_UViG_3300022862	37005	37121	-
ID_206	IMGVR_UViG_3300022862	37130	37477	-
ID_207	IMGVR_UViG_3300022862	37530	38039	-
ID_208	IMGVR_UViG_3300033145	1	951	-
ID_209	IMGVR_UViG_3300033145	963	1202	-
ID_210	IMGVR_UViG_3300033145	1202	1918	-
ID_211	IMGVR_UViG_3300033145	1929	2270	-
ID_212	IMGVR_UViG_3300033145	2252	2761	-
ID_213	IMGVR_UViG_3300033145	2755	2958	-
ID_214	IMGVR_UViG_3300033145	2969	4765	-
ID_215	IMGVR_UViG_3300033145	4762	5454	-
ID_216	IMGVR_UViG_3300033145	5454	6791	-
ID_217	IMGVR_UViG_3300033145	6837	7295	-
ID_218	IMGVR_UViG_3300033145	7305	8144	-
ID_219	IMGVR_UViG_3300033145	8148	8876	-
ID_220	IMGVR_UViG_3300033145	8937	9311	-
ID_221	IMGVR_UViG_3300033145	9342	9716	-
ID_222	IMGVR_UViG_3300033145	9789	10760	-
ID_223	IMGVR_UViG_3300033145	10794	11579	-
ID_224	IMGVR_UViG_3300033145	11752	11910	-
ID_225	IMGVR_UViG_3300033145	11907	12194	-
ID_226	IMGVR_UViG_3300033145	12196	14181	-
ID_227	IMGVR_UViG_3300033145	14174	14431	-
ID_228	IMGVR_UViG_3300033145	14452	14811	-
ID_229	IMGVR_UViG_3300033145	14811	15176	-
ID_230	IMGVR_UViG_3300033145	15169	15465	-
ID_231	IMGVR_UViG_3300033145	15476	15796	-
ID_232	IMGVR_UViG_3300033145	15886	16119	-
ID_233	IMGVR_UViG_3300033145	16079	17242	-
ID_234	IMGVR_UViG_3300033145	17217	17960	-
ID_235	IMGVR_UViG_3300033145	17991	19553	-
ID_236	IMGVR_UViG_3300033145	19554	19772	-
ID_237	IMGVR_UViG_3300033145	19785	20495	-
ID_238	IMGVR_UViG_3300033145	20533	20910	-
ID_239	IMGVR_UViG_3300033145	21116	21334	-
ID_240	IMGVR_UViG_3300033145	21687	21881	-
ID_241	IMGVR_UViG_3300033145	22012	22197	-
ID_242	IMGVR_UViG_3300033145	22506	22796	-
ID_243	IMGVR_UViG_3300033145	23215	23397	-
ID_244	IMGVR_UViG_3300033145	23432	23551	-
ID_245	IMGVR_UViG_3300033145	23707	24141	-
ID_246	IMGVR_UViG_3300033145	24771	25184	-
ID_247	IMGVR_UViG_3300033145	25379	25609	+
ID_248	IMGVR_UViG_3300033145	25621	25755	+
ID_249	IMGVR_UViG_3300033145	25730	26398	+
ID_250	IMGVR_UViG_3300033145	26412	26624	+
ID_251	IMGVR_UViG_3300033145	26585	26806	+
ID_252	IMGVR_UViG_3300033145	26803	27012	+
ID_253	IMGVR_UViG_3300033145	27009	27182	+
ID_254	IMGVR_UViG_3300033145	27201	27371	+
ID_255	IMGVR_UViG_3300033145	27374	27706	+
ID_256	IMGVR_UViG_3300033145	27855	28001	+
ID_257	IMGVR_UViG_3300033145	28108	28524	-
ID_258	IMGVR_UViG_3300033145	28536	29132	-
ID_259	IMGVR_UViG_3300033145	29252	29461	-
ID_260	IMGVR_UViG_3300033145	29458	29667	-
ID_261	IMGVR_UViG_3300033145	29717	29905	-
ID_262	IMGVR_UViG_3300033145	29940	30257	-
ID_263	IMGVR_UViG_3300033145	30239	30724	-
ID_264	IMGVR_UViG_3300033145	30739	31305	-
ID_265	IMGVR_UViG_3300033145	31312	31986	-
ID_266	IMGVR_UViG_3300033145	32154	32372	-
ID_267	IMGVR_UViG_3300033145	32387	32893	-
ID_268	IMGVR_UViG_3300033145	32877	33077	-
ID_269	IMGVR_UViG_3300033145	33032	33229	-
ID_270	IMGVR_UViG_3300033145	33328	33570	-
ID_271	IMGVR_UViG_3300033145	33582	33773	-
ID_272	IMGVR_UViG_3300033145	33773	34033	-
ID_273	IMGVR_UViG_3300033145	34030	34212	-
ID_274	IMGVR_UViG_3300033145	34209	34631	-
ID_275	IMGVR_UViG_3300033145	34644	34853	-
ID_276	IMGVR_UViG_3300033145	34850	35155	-
ID_277	IMGVR_UViG_3300033145	35279	35563	-
ID_278	IMGVR_UViG_3300033145	35743	36654	-
ID_279	IMGVR_UViG_3300033145	36639	36821	-
ID_280	IMGVR_UViG_3300033145	36833	37012	-
ID_281	IMGVR_UViG_3300033145	37026	37901	-
ID_282	IMGVR_UViG_3300033145	37898	38107	-
ID_283	IMGVR_UViG_3300033145	38104	38346	-
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
