Table S12. Phage AMGs identified by VIBRANT.							
Viral gene ID	AMG	KO	KO Name	KO E-value	KO Score	KO V-score	
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_24							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_25							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_26							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_27							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_28							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_29							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_30							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_31							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_32							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_33							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_34							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_35							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_36							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_37							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_38							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_39							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_40							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_41							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_42							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_43							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_44							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_45							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_46							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_47							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_48							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_49							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_50							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_51							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_52							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_53							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_54							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_55							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_56							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_57							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_58							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_59							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_60							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_61							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_62							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_63		K04763	xerD; integrase/recombinase XerD	3.20E-13	47.8	2.87	
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_64							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_65		K21039	int; enterobacteria phage integrase [EC:2.7.7.- 3.1.-.-]	5.40E-34	115.7	1	
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_66							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_67							
IMGVR_UViG_3300044719_000065|3300044719|Ga0466971_0000068_68							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_1							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_2							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_3							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_4							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_5							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_6							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_7							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_8							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_9							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_10							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_11							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_12							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_13							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_14							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_15							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_16							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_17							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_18							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_19							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_20							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_21							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_22							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_23							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_24							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_25							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_26							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_27							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_28		K03088	"rpoE; RNA polymerase sigma-70 factor, ECF subfamily"	2.40E-38	130.3	0.21	
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_29							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_30							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_31							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_32							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_33							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_34							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_35							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_36							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_37							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_38							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_39							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_40		K19304	mepM; murein DD-endopeptidase [EC:3.4.24.-]	6.30E-35	119	0.58	
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_41							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_42		K00527	rtpR; ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]	4.00E-204	677.6	1.39	
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_43		K03465	"thyX, thy1; thymidylate synthase (FAD) [EC:2.1.1.148]"	5.90E-52	174.6	4.3	
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_44							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_45							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_46							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_47		K02319	"pol; DNA polymerase, archaea type [EC:2.7.7.7]"	4.30E-15	52.7	2.28	
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_48							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_49							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_50		K02314	dnaB; replicative DNA helicase [EC:3.6.4.12]	6.20E-27	92.3	5.15	
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_51							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_52							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_53							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_54		K17680	PEO1; twinkle protein [EC:3.6.4.12]	1.70E-13	47.6	2.89	
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_55		K01520	"dut, DUT; dUTP pyrophosphatase [EC:3.6.1.23]"	3.30E-60	202	2.79	
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_56							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_57		K10906	recE; exodeoxyribonuclease VIII [EC:3.1.11.-]	3.10E-14	50.3	1.75	
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_58							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_59							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_60							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_61							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_62							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_63							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_64							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_65							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_66							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_67							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_68							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_69							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_70							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_71							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_72							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_73							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_74							
IMGVR_UViG_3300028640_000005|3300028640|Ga0302237_1000135_75							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_1		K03098	APOD; apolipoprotein D and lipocalin family protein	2.90E-42	142.9	0.01	
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_2							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_3		K07489	K07489; transposase	1.40E-17	62.2	0.01	
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_4		K07480	insB; insertion element IS1 protein InsB	4.80E-42	142.3	0.03	
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_5							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_6							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_7		K01185	E3.2.1.17; lysozyme [EC:3.2.1.17]	2.70E-32	110.5	4.48	
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_8							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_9		K03704	cspA; cold shock protein	2.60E-34	117	0.16	
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_10							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_11							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_12		K22014	Nu1; terminase small subunit	3.80E-80	265.6	1	
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_13		K21512	"gpA; terminase, large subunit [EC:3.1.21.4]"	7.70E-288	954.3	1.08	
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_14							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_15							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_16		K21511	GPC; capsid assembly protease [EC:3.4.21.-]	2.00E-236	782.8	0.72	
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_17							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_18							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_19							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_20							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_21							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_22							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_23							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_24							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_25							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_26							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_27							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_28							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_29							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_30	AMG	K21140	mec; [CysO sulfur-carrier protein]-S-L-cysteine hydrolase [EC:3.13.1.6]	3.70E-17	60.3	0.89	
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_31							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_32							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_33		K07804	pagC; putatice virulence related protein PagC	1.10E-44	150.3	0.11	
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_34							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_35		K14060	pinR; putative DNA-invertase from lambdoid prophage Rac	2.00E-87	289.9	1	
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_36							
IMGVR_UViG_3300029577_000394|3300029577|Ga0244883_100303|72-34243_37		K08173	"ydfJ; MFS transporter, MHS family, metabolite:H+ symporter"	4.00E-194	643.5	0	
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_1							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_2							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_3							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_4							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_5							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_6							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_7							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_8							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_9							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_10							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_11							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_12							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_13		K01143	E3.1.11.3; exodeoxyribonuclease (lambda-induced) [EC:3.1.11.3]	3.70E-41	138.8	0.69	
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_14		K07455	recT; recombination protein RecT	3.80E-65	218.6	1.61	
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_15							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_16							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_17							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_18							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_19		K21919	KCTD9; BTB/POZ domain-containing protein KCTD9	9.90E-37	124.6	0.11	
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_20							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_21							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_22							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_23							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_24							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_25							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_26							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_27							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_28							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_29							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_30		K01174	nuc; micrococcal nuclease [EC:3.1.31.1]	3.20E-20	70.3	0.74	
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_31							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_32							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_33							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_34							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_35							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_36							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_37							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_38							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_39							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_40							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_41		K02314	dnaB; replicative DNA helicase [EC:3.6.4.12]	7.90E-104	346	5.15	
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_42							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_43							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_44							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_45							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_46							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_47							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_48							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_49							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_50							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_51							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_52							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_53							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_54							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_55							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_56							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_57							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_58							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_59							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_60							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_61							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_62		K06909	xtmB; phage terminase large subunit	9.30E-16	55.7	4.5	
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_63							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_64							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_65							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_66							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_67							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_68							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_69							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_70							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_71							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_72							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_73							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_74							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_75							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_76							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_77							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_78							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_79		K07726	K07726; putative transcriptional regulator	3.00E-12	44.2	0.01	
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_80		K07726	K07726; putative transcriptional regulator	3.70E-24	83.3	0.01	
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_81							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_82							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_83							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_84							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_85							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_86							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_87							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_88							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_89		K01185	E3.2.1.17; lysozyme [EC:3.2.1.17]	1.40E-55	187	4.48	
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_90							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_91							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_92							
IMGVR_UViG_3300045220_000070|3300045220|Ga0485434_00462|14274-69368_93		K14059	int; integrase	4.30E-15	53.5	7	
IMGVR_UViG_3300029266_002687|3300029266|Ga0309889_1155795|125181-136110_1							
IMGVR_UViG_3300029266_002687|3300029266|Ga0309889_1155795|125181-136110_2							
IMGVR_UViG_3300029266_002687|3300029266|Ga0309889_1155795|125181-136110_3							
IMGVR_UViG_3300029266_002687|3300029266|Ga0309889_1155795|125181-136110_4							
IMGVR_UViG_3300029266_002687|3300029266|Ga0309889_1155795|125181-136110_5							
IMGVR_UViG_3300029266_002687|3300029266|Ga0309889_1155795|125181-136110_6							
IMGVR_UViG_3300029266_002687|3300029266|Ga0309889_1155795|125181-136110_7							
IMGVR_UViG_3300029266_002687|3300029266|Ga0309889_1155795|125181-136110_8							
IMGVR_UViG_3300029266_002687|3300029266|Ga0309889_1155795|125181-136110_9							
IMGVR_UViG_3300029266_002687|3300029266|Ga0309889_1155795|125181-136110_10		K10954	zot; zona occludens toxin	6.80E-11	40	0.84	
IMGVR_UViG_3300029266_002687|3300029266|Ga0309889_1155795|125181-136110_11		K02453	gspD; general secretion pathway protein D	2.40E-84	282.2	0.05	
IMGVR_UViG_3300029266_002687|3300029266|Ga0309889_1155795|125181-136110_12							
IMGVR_UViG_3300029266_002687|3300029266|Ga0309889_1155795|125181-136110_13		K04763	xerD; integrase/recombinase XerD	4.40E-36	123.1	2.87	
IMGVR_UViG_3300029266_002687|3300029266|Ga0309889_1155795|125181-136110_14	AMG	K01451	hipO; hippurate hydrolase [EC:3.5.1.32]	5.00E-161	535.2	0	
IMGVR_UViG_3300042230_000088|3300042230|Ga0451615_00150|8241-61222_1							
IMGVR_UViG_3300042230_000088|3300042230|Ga0451615_00150|8241-61222_2		K06400	spoIVCA; site-specific DNA recombinase	7.60E-107	356.3	2.76	
IMGVR_UViG_3300042230_000088|3300042230|Ga0451615_00150|8241-61222_3							
IMGVR_UViG_3300042230_000088|3300042230|Ga0451615_00150|8241-61222_4							
IMGVR_UViG_3300042230_000088|3300042230|Ga0451615_00150|8241-61222_5							
IMGVR_UViG_3300042230_000088|3300042230|Ga0451615_00150|8241-61222_6							
IMGVR_UViG_3300042230_000088|3300042230|Ga0451615_00150|8241-61222_7							
IMGVR_UViG_3300042230_000088|3300042230|Ga0451615_00150|8241-61222_8							
IMGVR_UViG_3300042230_000088|3300042230|Ga0451615_00150|8241-61222_9							
IMGVR_UViG_3300042230_000088|3300042230|Ga0451615_00150|8241-61222_10							
IMGVR_UViG_3300042230_000088|3300042230|Ga0451615_00150|8241-61222_11							
IMGVR_UViG_3300042230_000088|3300042230|Ga0451615_00150|8241-61222_12							
IMGVR_UViG_3300042230_000088|3300042230|Ga0451615_00150|8241-61222_13							
IMGVR_UViG_3300042230_000088|3300042230|Ga0451615_00150|8241-61222_14							
IMGVR_UViG_3300042230_000088|3300042230|Ga0451615_00150|8241-61222_15							
IMGVR_UViG_3300042230_000088|3300042230|Ga0451615_00150|8241-61222_16		K01144	E3.1.11.5; exodeoxyribonuclease V [EC:3.1.11.5]	4.10E-84	281.6	1.4	
IMGVR_UViG_3300042230_000088|3300042230|Ga0451615_00150|8241-61222_17							
