Table S9. Prediction of promoters and terminators.									
			Terminator			Promoter			
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"18,027"	5	"18,012"	"17,989"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"10,461"	4.95	"10,449"	"10,429"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"37,852"	4.75	"37,837"	"37,817"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"51,594"	4.72	"51,579"	"51,562"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"41,546"	4.61	"41,531"	"41,512"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"51,290"	4.49	"51,275"	"51,252"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"18,965"	4.48	"18,950"	"18,931"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"37,250"	4.48	"37,235"	"37,216"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"46,549"	4.47	"46,534"	"46,510"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"49,170"	4.34	"49,155"	"49,132"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"11,556"	4.33	"11,541"	"11,522"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"44,458"	4.32	"44,443"	"44,419"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"35,162"	4.31	"35,147"	"35,129"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	8011	4.27	7996	7978
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"32,636"	4.25	"32,621"	"32,597"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"38,288"	4.24	"38,273"	"38,251"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"41,889"	4.17	"41,874"	"41,855"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"13,289"	4.1	"13,274"	"13,249"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"22,128"	4.09	"22,113"	"22,088"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	4350	4.01	4335	4314
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"48,184"	4.01	"48,169"	"48,145"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"36,064"	4.01	"36,049"	"36,030"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"46,946"	3.96	"46,930"	"46,912"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"32,228"	3.95	"32,213"	"32,189"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"14,177"	3.93	"14,162"	"14,137"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"45,254"	3.91	"45,239"	"45,220"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"52,758"	3.88	"52,742"	"52,726"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"36,376"	3.88	"36,361"	"36,340"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"29,910"	3.83	"29,895"	"29,875"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"23,379"	3.82	"23,364"	"23,344"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"40,303"	3.81	"40,288"	"40,270"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	322	3.78	307	287
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"15,317"	3.72	"15,302"	"15,284"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"23,699"	3.7	"23,684"	"23,661"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"24,645"	3.69	"24,630"	"24,607"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"29,292"	3.67	"29,277"	"29,257"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	9817	3.65	9802	9781
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	4729	3.59	4714	4689
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"36,803"	3.49	"36,788"	"36,769"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"25,728"	3.46	"25,713"	"25,693"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	3502	3.45	3486	3470
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"16,990"	3.4	"16,975"	"16,954"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	6946	3.4	6931	6907
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	8964	3.32	8949	8929
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"33,977"	3.31	"33,962"	"33,939"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	988	3.28	973	955
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"11,185"	3.26	"11,170"	"11,149"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"34,608"	3.24	"34,593"	"34,568"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	5228	3.22	5212	5190
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"22,440"	3.22	"22,425"	"22,401"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"20,877"	3.16	"20,862"	"20,841"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"35,462"	3.14	"35,447"	"35,424"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"49,559"	3.13	"49,544"	"49,521"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"27,587"	3.1	"27,572"	"27,553"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"28,575"	3.09	"28,560"	"28,538"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"48,795"	3.09	"48,780"	"48,760"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"11,894"	3.04	"11,879"	"11,859"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	6178	2.98	6162	6142
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"15,986"	2.95	"15,971"	"15,952"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"24,139"	2.92	"24,124"	"24,105"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	9364	2.92	9349	9325
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"47,282"	2.88	"47,267"	"47,245"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"10,848"	2.88	"10,833"	"10,809"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"42,988"	2.78	"42,973"	"42,954"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"51,964"	2.78	"51,949"	"51,924"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"43,364"	2.69	"43,349"	"43,327"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"49,985"	2.62	"49,970"	"49,951"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"33,658"	2.61	"33,643"	"33,624"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"20,529"	2.61	"20,514"	"20,494"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"42,313"	2.6	"42,298"	"42,275"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"26,274"	2.58	"26,259"	"26,240"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"48,494"	2.57	"48,479"	"48,460"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"19,265"	2.57	"19,249"	"19,232"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"31,840"	2.46	"31,825"	"31,808"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"18,516"	2.46	"18,501"	"18,484"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"30,793"	2.41	"30,778"	"30,760"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	7329	2.38	7314	7295
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"39,596"	2.37	"39,581"	"39,561"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"25,016"	2.32	"25,001"	"24,976"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"20,169"	2.28	"20,154"	"20,130"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"30,442"	2.22	"30,427"	"30,407"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"17,651"	2.13	"17,636"	"17,611"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"28,267"	2.09	"28,251"	"28,235"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"41,155"	2.04	"41,140"	"41,116"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"14,558"	1.9	"14,543"	"14,524"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"26,798"	1.85	"26,782"	"26,762"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"50,301"	1.83	"50,286"	"50,265"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"13,725"	1.81	"13,710"	"13,691"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"17,325"	1.77	"17,310"	"17,288"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"16,576"	1.76	"16,561"	"16,539"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"22,762"	1.58	"22,747"	"22,727"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"29,609"	1.52	"29,594"	"29,574"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"19,798"	1.5	"19,783"	"19,758"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"31,397"	1.4	"31,382"	"31,358"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"10,147"	1.37	"10,132"	"10,113"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"32,937"	1.35	"32,922"	"32,902"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"34,289"	1.34	"34,274"	"34,249"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"28,875"	1.22	"28,860"	"28,843"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"50,943"	1.09	"50,928"	"50,910"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"40,697"	1.04	"40,682"	"40,663"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"12,910"	0.93	"12,895"	"12,875"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	7680	0.92	7665	7642
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"39,248"	0.73	"39,233"	"39,215"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"42,669"	0.64	"42,654"	"42,631"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"25,319"	0.59	"25,304"	"25,286"
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	6641	0.39	6626	6605
mgtB	IMGVR_UViG_3300034683_000623	"52,961"	-	"12,503"	42	"33,309"	0.35	"33,294"	"33,270"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"20,145"	4.66	"20,130"	"20,112"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"20,619"	4.13	"20,604"	"20,580"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"27,351"	3.19	"27,336"	"27,316"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"30,930"	2.75	"30,915"	"30,897"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"18,317"	2.63	"18,302"	"18,279"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"24,229"	2.12	"24,214"	"24,191"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"32,056"	1.82	"32,041"	"32,020"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"21,109"	1.77	"21,094"	"21,076"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	1997	1.7	1982	1959
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"14,630"	1.61	"14,615"	"14,590"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"19,255"	1.38	"19,240"	"19,215"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"35,575"	1.28	"35,560"	"35,540"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"30,200"	1.22	"30,185"	"30,160"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"12,997"	1.06	"12,982"	"12,960"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"21,591"	0.99	"21,576"	"21,553"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"23,148"	0.94	"23,133"	"23,110"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"31,244"	0.93	"31,229"	"31,207"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"24,925"	0.93	"24,910"	"24,890"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"11,911"	0.93	"11,896"	"11,871"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"16,217"	0.75	"16,202"	"16,178"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	5876	0.74	5861	5837
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"37,674"	0.7	"37,659"	"37,639"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"22,739"	0.69	"22,724"	"22,701"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"32,924"	0.66	"32,910"	"32,884"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"32,492"	0.62	"32,477"	"32,457"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"26,238"	0.57	"26,223"	"26,203"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	3511	0.53	3496	3474
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	2980	0.44	2965	2941
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"23,477"	0.44	"23,462"	"23,440"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"29,715"	0.42	"29,700"	"29,680"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"23,798"	0.4	"23,783"	"23,764"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"15,850"	0.4	"15,835"	"15,814"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"22,073"	0.35	"22,058"	"22,039"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"11,253"	0.29	"11,238"	"11,219"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"37,136"	0.29	"37,121"	"37,102"
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	9005	0.26	8990	8971
misL	IMGVR_UViG_3300022862_000001	"38,176"	+	1108	44	"17,551"	0.26	"17,536"	"17,512"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"13,062"	9.35	"13,047"	"13,028"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"51,475"	8.23	"51,460"	"51,438"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"30,319"	7.7	"30,304"	"30,287"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"40,071"	7.44	"40,056"	"40,031"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"54,295"	7.11	"54,280"	"54,259"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"34,995"	6.65	"34,980"	"34,960"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"11,668"	6.32	"11,653"	"11,633"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"46,092"	6.18	"46,077"	"46,057"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"31,830"	6.17	"31,815"	"31,791"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"22,186"	6.16	"22,171"	"22,149"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"41,185"	6.15	"41,170"	"41,147"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"21,752"	6.1	"21,737"	"21,717"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"53,481"	6.04	"53,466"	"53,446"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"25,103"	6.01	"25,088"	"25,066"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"20,926"	5.93	"20,911"	"20,891"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"29,936"	5.89	"29,921"	"29,899"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"28,233"	5.83	"28,218"	"28,196"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"38,023"	5.79	"38,008"	"37,987"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"34,374"	5.75	"34,359"	"34,338"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	3601	5.74	3586	3564
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"24,178"	5.72	"24,163"	"24,143"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"18,004"	5.58	"17,989"	"17,967"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"60,578"	5.58	"60,563"	"60,546"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"24,627"	5.58	"24,612"	"24,587"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"54,666"	5.57	"54,651"	"54,634"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"61,084"	5.42	"61,069"	"61,048"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"27,863"	5.39	"27,848"	"27,828"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"57,469"	5.25	"57,454"	"57,434"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"35,745"	5.12	"35,730"	"35,710"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"43,514"	5.1	"43,499"	"43,479"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	6089	5.08	6074	6056
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"23,391"	5.05	"23,376"	"23,354"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"41,812"	4.98	"41,797"	"41,779"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"38,961"	4.86	"38,946"	"38,926"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"30,752"	4.85	"30,737"	"30,718"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"21,403"	4.8	"21,388"	"21,364"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"26,047"	4.7	"26,032"	"26,013"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"60,213"	4.68	"60,198"	"60,173"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	1215	4.62	1200	1179
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	3964	4.6	3948	3928
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"26,515"	4.56	"26,500"	"26,483"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"19,230"	4.52	"19,215"	"19,194"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"52,552"	4.51	"52,537"	"52,517"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	2078	4.42	2063	2039
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"28,772"	4.4	"28,757"	"28,733"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"32,398"	4.36	"32,383"	"32,364"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"40,622"	4.36	"40,607"	"40,590"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	2652	4.35	2637	2614
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"48,753"	4.29	"48,738"	"48,718"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"55,542"	4.26	"55,527"	"55,505"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"27,478"	4.26	"27,463"	"27,438"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"50,528"	4.25	"50,513"	"50,493"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"26,841"	4.18	"26,826"	"26,803"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"42,748"	4.14	"42,733"	"42,712"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	252	4.11	237	212
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"53,064"	4.11	"53,049"	"53,031"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"16,145"	4.08	"16,130"	"16,113"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"33,027"	4.05	"33,012"	"32,989"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"61,924"	3.98	"61,909"	"61,891"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"39,381"	3.97	"39,366"	"39,349"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"49,406"	3.97	"49,391"	"49,369"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"20,152"	3.95	"20,137"	"20,114"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"18,519"	3.94	"18,504"	"18,485"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"42,354"	3.92	"42,339"	"42,319"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"59,628"	3.87	"59,613"	"59,593"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"47,006"	3.87	"46,991"	"46,972"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"14,375"	3.87	"14,360"	"14,342"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	8191	3.86	8176	8157
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	5250	3.86	5235	5213
