Table S4. Phage lifestyles.	
IMGVR_UViG_3300029437_000411	Temperate
IMGVR_UViG_3300030206_000006	Temperate
IMGVR_UViG_7000000425_000294	Virulent
IMGVR_UViG_3300008499_000079	Temperate
IMGVR_UViG_7000000397_000131	-
IMGVR_UViG_7000000397_000245	-
IMGVR_UViG_3300008547_000185	-
IMGVR_UViG_7000000306_000088	-
IMGVR_UViG_7000000171_000367	Virulent
IMGVR_UViG_7000000352_000272	Temperate
IMGVR_UViG_3300008058_000116	Temperate
IMGVR_UViG_3300007717_000346	Temperate
IMGVR_UViG_3300007714_000312	-
IMGVR_UViG_3300007714_000210	Temperate
IMGVR_UViG_7000000410_000122	Temperate
IMGVR_UViG_3300006525_000433	Temperate
IMGVR_UViG_7000000193_000262	Temperate
IMGVR_UViG_7000000460_000229	Temperate
IMGVR_UViG_3300008672_000164	Temperate
IMGVR_UViG_3300008272_000263	Virulent
IMGVR_UViG_3300008326_000213	-
IMGVR_UViG_7000000417_000055	Virulent
IMGVR_UViG_7000000112_000112	Virulent
IMGVR_UViG_7000000425_000351	Virulent
IMGVR_UViG_3300008132_000249	Temperate
IMGVR_UViG_3300008060_000089	-
IMGVR_UViG_7000000081_000041	Temperate
IMGVR_UViG_3300006464_000226	-
IMGVR_UViG_7000000317_000058	Virulent
IMGVR_UViG_3300007742_000427	Virulent
IMGVR_UViG_7000000736_000060	Virulent
IMGVR_UViG_3300008725_000382	-
IMGVR_UViG_7000000335_000025	Virulent
IMGVR_UViG_3300007210_000326	Temperate
IMGVR_UViG_7000000484_000232	Virulent
IMGVR_UViG_7000000069_000042	Virulent
IMGVR_UViG_3300006502_000007	Virulent
IMGVR_UViG_7000000100_000015	Virulent
IMGVR_UViG_3300008716_000227	Temperate
IMGVR_UViG_7000000040_000181	-
IMGVR_UViG_7000000265_000206	Virulent
IMGVR_UViG_3300007669_000001	Virulent
IMGVR_UViG_3300007097_000159	Temperate
IMGVR_UViG_7000000515_000234	Temperate
IMGVR_UViG_3300008101_000136	Temperate
IMGVR_UViG_7000000633_000033	Virulent
IMGVR_UViG_3300008479_000002	Virulent
IMGVR_UViG_7000000282_000007	Virulent
IMGVR_UViG_3300007714_000278	-
IMGVR_UViG_7000000333_000001	Virulent
IMGVR_UViG_3300007296_000307	Temperate
IMGVR_UViG_3300007296_000231	Temperate
IMGVR_UViG_3300008149_000128	-
IMGVR_UViG_3300007641_000111	-
IMGVR_UViG_3300029160_000038	Temperate
IMGVR_UViG_3300029167_000055	Temperate
IMGVR_UViG_3300030467_000022	Temperate
IMGVR_UViG_2149837024_000102	Temperate
IMGVR_UViG_3300014767_000072	-
IMGVR_UViG_3300014824_000511	Temperate
IMGVR_UViG_3300015187_000042	Virulent
IMGVR_UViG_3300029783_000151	-
IMGVR_UViG_3300029217_000216	Temperate
IMGVR_UViG_3300029204_000162	-
IMGVR_UViG_3300029227_000110	-
IMGVR_UViG_3300029191_000096	Virulent
IMGVR_UViG_3300029235_000256	Temperate
IMGVR_UViG_3300029128_000134	Temperate
IMGVR_UViG_3300029134_000280	Temperate
IMGVR_UViG_3300029117_000168	Virulent
IMGVR_UViG_3300029251_000420	-
IMGVR_UViG_3300029237_000328	Temperate
IMGVR_UViG_3300029206_000188	Temperate
IMGVR_UViG_3300029118_000182	-
IMGVR_UViG_3300030447_000253	Temperate
IMGVR_UViG_3300030447_000286	Temperate
IMGVR_UViG_3300030444_000113	Temperate
IMGVR_UViG_3300030444_000254	Virulent
IMGVR_UViG_3300029181_000127	Temperate
IMGVR_UViG_3300029307_000197	-
IMGVR_UViG_3300029130_000351	Temperate
IMGVR_UViG_3300029132_000242	Temperate
IMGVR_UViG_3300029113_000096	Temperate
IMGVR_UViG_3300029228_000144	Temperate
IMGVR_UViG_3300029514_000063	Temperate
IMGVR_UViG_3300029572_000037	Temperate
IMGVR_UViG_3300029548_000015	Temperate
IMGVR_UViG_3300029488_000117	-
IMGVR_UViG_3300029450_000032	Virulent
IMGVR_UViG_3300029491_000215	-
IMGVR_UViG_3300029459_000127	Temperate
IMGVR_UViG_3300029456_000071	-
IMGVR_UViG_3300029477_000197	-
IMGVR_UViG_3300029479_000219	Temperate
IMGVR_UViG_3300029486_000238	Temperate
IMGVR_UViG_3300029453_000086	-
IMGVR_UViG_3300029464_000140	-
IMGVR_UViG_3300029517_000104	Temperate
IMGVR_UViG_3300029520_000178	-
IMGVR_UViG_3300029513_000231	Temperate
IMGVR_UViG_3300029815_000517	Virulent
IMGVR_UViG_3300029577_000394	Temperate
IMGVR_UViG_3300029541_000153	Temperate
IMGVR_UViG_3300029531_000136	Temperate
IMGVR_UViG_3300039377_000113	Temperate
IMGVR_UViG_3300039377_000120	Virulent
IMGVR_UViG_3300029095_000187	Virulent
IMGVR_UViG_3300029043_000144	Virulent
IMGVR_UViG_3300029058_000214	Virulent
IMGVR_UViG_3300029038_000168	Temperate
IMGVR_UViG_3300039366_000165	Virulent
IMGVR_UViG_3300039372_000083	Virulent
IMGVR_UViG_3300039314_000133	Temperate
IMGVR_UViG_3300039381_000112	Virulent
IMGVR_UViG_3300039376_000148	Temperate
IMGVR_UViG_3300039320_000025	Virulent
IMGVR_UViG_3300028976_000034	Virulent
IMGVR_UViG_3300028982_000017	Virulent
IMGVR_UViG_3300014510_000017	Temperate
IMGVR_UViG_3300039370_000009	Temperate
IMGVR_UViG_3300029094_000074	Virulent
IMGVR_UViG_3300029091_000078	Temperate
IMGVR_UViG_3300029177_000070	Temperate
IMGVR_UViG_3300029083_000052	Temperate
IMGVR_UViG_3300029035_000080	Temperate
IMGVR_UViG_3300029029_000138	Virulent
IMGVR_UViG_3300029041_000125	-
IMGVR_UViG_3300028966_000074	Virulent
IMGVR_UViG_3300028964_000081	Virulent
IMGVR_UViG_3300014954_000013	Virulent
IMGVR_UViG_3300014950_000087	Temperate
IMGVR_UViG_3300029070_000029	Virulent
IMGVR_UViG_3300039360_000009	Temperate
IMGVR_UViG_3300039360_000027	Virulent
IMGVR_UViG_3300028985_000047	Virulent
IMGVR_UViG_3300028995_000046	Temperate
IMGVR_UViG_3300014522_000033	Virulent
IMGVR_UViG_3300014527_000052	Virulent
IMGVR_UViG_3300039379_000029	Virulent
IMGVR_UViG_3300039379_000022	Virulent
IMGVR_UViG_3300039318_000063	Virulent
IMGVR_UViG_3300014529_000085	Temperate
IMGVR_UViG_3300029047_000115	Temperate
IMGVR_UViG_3300029040_000072	Temperate
IMGVR_UViG_3300029101_000274	Temperate
IMGVR_UViG_3300029124_000217	Temperate
IMGVR_UViG_3300029058_000309	-
IMGVR_UViG_3300029055_000161	Temperate
IMGVR_UViG_3300029039_000008	Temperate
IMGVR_UViG_3300029045_000126	-
IMGVR_UViG_3300029030_000169	-
IMGVR_UViG_3300029042_000246	Temperate
IMGVR_UViG_3300039322_000123	-
IMGVR_UViG_3300014597_000054	Temperate
IMGVR_UViG_3300039366_000290	Temperate
IMGVR_UViG_3300028953_000013	Temperate
IMGVR_UViG_3300028912_000014	Temperate
IMGVR_UViG_3300028963_000035	Temperate
IMGVR_UViG_3300039384_000088	Temperate
IMGVR_UViG_3300028951_000019	Temperate
IMGVR_UViG_3300029085_000036	Temperate
IMGVR_UViG_3300029107_000039	Virulent
IMGVR_UViG_3300014787_000149	-
IMGVR_UViG_3300014803_000142	Temperate
IMGVR_UViG_3300014783_000112	-
IMGVR_UViG_3300014744_000101	Temperate
IMGVR_UViG_3300014790_000248	Temperate
IMGVR_UViG_3300014794_000188	Temperate
IMGVR_UViG_3300035645_000171	-
IMGVR_UViG_3300014566_000145	Virulent
IMGVR_UViG_3300035644_000125	Temperate
IMGVR_UViG_3300035652_000074	Temperate
IMGVR_UViG_3300000277_000048	Temperate
IMGVR_UViG_3300029190_000077	Virulent
IMGVR_UViG_3300000281_000125	Virulent
IMGVR_UViG_3300000291_000075	Temperate
IMGVR_UViG_3300022758_000287	Temperate
IMGVR_UViG_3300022758_000397	Temperate
IMGVR_UViG_3300013900_000020	Virulent
IMGVR_UViG_3300013946_000164	Temperate
IMGVR_UViG_3300013958_000298	Temperate
IMGVR_UViG_3300013958_000161	Temperate
IMGVR_UViG_3300013958_000143	Temperate
IMGVR_UViG_2051223006_000032	Virulent
IMGVR_UViG_3300030365_000213	Temperate
IMGVR_UViG_3300029584_000299	Temperate
IMGVR_UViG_3300029583_000362	Temperate
IMGVR_UViG_3300029710_000301	Temperate
IMGVR_UViG_3300029703_000123	Temperate
IMGVR_UViG_3300029668_000181	Temperate
IMGVR_UViG_3300029604_000141	Temperate
IMGVR_UViG_3300029850_000117	Temperate
IMGVR_UViG_3300029675_000278	Temperate
IMGVR_UViG_3300029702_000009	Temperate
IMGVR_UViG_3300029888_000102	Temperate
IMGVR_UViG_3300029653_000186	Temperate
IMGVR_UViG_3300029872_000368	Temperate
IMGVR_UViG_3300029843_000123	Temperate
IMGVR_UViG_3300029878_000206	-
IMGVR_UViG_3300029840_000255	-
IMGVR_UViG_3300029576_000213	Temperate
IMGVR_UViG_3300029706_000242	Temperate
IMGVR_UViG_3300029653_000080	Temperate
IMGVR_UViG_3300029587_000294	Temperate
IMGVR_UViG_3300029643_000090	Temperate
IMGVR_UViG_3300029886_000119	Temperate
IMGVR_UViG_3300029844_000196	-
IMGVR_UViG_3300029617_000243	Temperate
IMGVR_UViG_3300029887_000324	Temperate
IMGVR_UViG_3300029616_000157	Temperate
IMGVR_UViG_3300029623_000287	Virulent
IMGVR_UViG_3300029615_000462	Temperate
IMGVR_UViG_3300029742_000189	-
IMGVR_UViG_3300029742_000259	Temperate
IMGVR_UViG_3300029681_000236	Temperate
IMGVR_UViG_3300029719_000265	Temperate
IMGVR_UViG_3300029852_000274	Temperate
IMGVR_UViG_3300029735_000261	Temperate
IMGVR_UViG_3300029737_000259	Temperate
IMGVR_UViG_3300029647_000134	Temperate
IMGVR_UViG_3300029860_000179	Temperate
IMGVR_UViG_3300029881_000339	-
IMGVR_UViG_3300029881_000280	-
IMGVR_UViG_3300029881_000211	Temperate
IMGVR_UViG_3300029690_000222	Temperate
IMGVR_UViG_3300029875_000273	Temperate
IMGVR_UViG_3300013025_000094	Temperate
IMGVR_UViG_3300009944_000210	Temperate
IMGVR_UViG_3300012078_000225	Temperate
IMGVR_UViG_3300012125_000029	Temperate
IMGVR_UViG_3300012153_000074	Temperate
IMGVR_UViG_3300012082_000087	Temperate
IMGVR_UViG_3300012082_000088	Temperate
IMGVR_UViG_3300045159_000088	Temperate
IMGVR_UViG_3300045152_000056	Temperate
IMGVR_UViG_3300045153_000054	Temperate
IMGVR_UViG_3300045154_000076	Temperate
IMGVR_UViG_3300045187_000103	Temperate
IMGVR_UViG_3300047612_000054	Temperate
IMGVR_UViG_3300045604_000075	Temperate
IMGVR_UViG_3300045605_000031	Virulent
IMGVR_UViG_3300045606_000078	Temperate
IMGVR_UViG_3300045685_000098	Temperate
IMGVR_UViG_3300045607_000041	Temperate
IMGVR_UViG_3300045828_000076	Temperate
IMGVR_UViG_3300045829_000041	Temperate
IMGVR_UViG_3300045830_000038	Temperate
IMGVR_UViG_3300045831_000057	Temperate
IMGVR_UViG_3300045832_000102	Temperate
IMGVR_UViG_3300045833_000056	Temperate
IMGVR_UViG_3300045197_000107	Temperate
IMGVR_UViG_3300045279_000093	Temperate
IMGVR_UViG_3300049632_000099	Temperate
IMGVR_UViG_3300045198_000079	Temperate
IMGVR_UViG_3300045199_000100	Temperate
IMGVR_UViG_3300045220_000101	Temperate
IMGVR_UViG_3300045221_000104	Temperate
IMGVR_UViG_3300045222_000049	Temperate
IMGVR_UViG_3300045277_000075	Temperate
IMGVR_UViG_3300045299_000104	Temperate
IMGVR_UViG_3300045223_000077	Temperate
IMGVR_UViG_3300044916_000084	Temperate
IMGVR_UViG_3300044917_000072	Temperate
IMGVR_UViG_3300044924_000062	Temperate
IMGVR_UViG_3300046833_000063	Temperate
IMGVR_UViG_3300044918_000085	Temperate
IMGVR_UViG_3300044919_000098	Temperate
IMGVR_UViG_3300045104_000073	Temperate
IMGVR_UViG_3300045105_000062	Temperate
IMGVR_UViG_3300045133_000069	Temperate
IMGVR_UViG_3300045155_000080	Temperate
IMGVR_UViG_3300045188_000036	Temperate
IMGVR_UViG_3300045160_000058	Temperate
IMGVR_UViG_3300045162_000044	Temperate
IMGVR_UViG_3300045686_000029	Virulent
IMGVR_UViG_3300045687_000069	Temperate
IMGVR_UViG_3300045688_000091	Temperate
IMGVR_UViG_3300045689_000072	Temperate
IMGVR_UViG_3300045834_000059	Temperate
IMGVR_UViG_3300045835_000063	Temperate
IMGVR_UViG_3300045788_000056	Temperate
IMGVR_UViG_3300045172_000090	Temperate
IMGVR_UViG_3300045173_000058	Temperate
IMGVR_UViG_3300045091_000078	Temperate
IMGVR_UViG_3300045092_000042	Temperate
IMGVR_UViG_3300045200_000058	Virulent
IMGVR_UViG_3300045195_000083	Temperate
IMGVR_UViG_3300045201_000114	Temperate
IMGVR_UViG_3300048938_000044	Temperate
IMGVR_UViG_3300045224_000041	Temperate
IMGVR_UViG_3300045225_000073	Temperate
IMGVR_UViG_3300045226_000057	Temperate
IMGVR_UViG_3300045227_000064	Temperate
IMGVR_UViG_3300045228_000128	Temperate
IMGVR_UViG_3300045229_000076	Temperate
IMGVR_UViG_3300044920_000092	Temperate
IMGVR_UViG_3300044921_000079	Temperate
IMGVR_UViG_3300044926_000071	Temperate
IMGVR_UViG_3300044927_000127	Temperate
IMGVR_UViG_3300044928_000060	Temperate
IMGVR_UViG_3300045106_000081	Temperate
IMGVR_UViG_3300045134_000066	Temperate
IMGVR_UViG_3300045980_000069	Temperate
IMGVR_UViG_3300045981_000073	Temperate
IMGVR_UViG_3300045969_000086	Temperate
IMGVR_UViG_3300045150_000079	Temperate
IMGVR_UViG_3300045145_000042	Virulent
IMGVR_UViG_3300045157_000071	Temperate
IMGVR_UViG_3300047611_000066	Temperate
IMGVR_UViG_3300045158_000095	Temperate
IMGVR_UViG_3300045521_000075	Temperate
IMGVR_UViG_3300045522_000056	Temperate
IMGVR_UViG_3300045523_000040	Temperate
IMGVR_UViG_3300045576_000071	Temperate
IMGVR_UViG_3300045601_000069	Temperate
IMGVR_UViG_3300045602_000075	Temperate
IMGVR_UViG_3300045812_000067	Temperate
IMGVR_UViG_3300045813_000065	Temperate
IMGVR_UViG_3300045823_000056	Temperate
IMGVR_UViG_3300045824_000076	Temperate
IMGVR_UViG_3300045826_000076	Temperate
IMGVR_UViG_3300045827_000045	Temperate
IMGVR_UViG_3300045827_000028	Virulent
IMGVR_UViG_3300048936_000096	Temperate
IMGVR_UViG_3300045183_000076	Temperate
IMGVR_UViG_3300045184_000087	Temperate
IMGVR_UViG_3300045185_000110	Temperate
IMGVR_UViG_3300045090_000063	Temperate
IMGVR_UViG_3300045186_000059	Temperate
IMGVR_UViG_3300048932_000054	Temperate
IMGVR_UViG_3300045216_000079	Temperate
IMGVR_UViG_3300045217_000094	Temperate
IMGVR_UViG_3300049633_000085	Temperate
IMGVR_UViG_3300045218_000077	Temperate
IMGVR_UViG_3300045219_000055	Temperate
IMGVR_UViG_3300044913_000087	Temperate
IMGVR_UViG_3300044914_000066	Temperate
IMGVR_UViG_3300046130_000075	Temperate
IMGVR_UViG_3300044923_000072	Temperate
IMGVR_UViG_3300044915_000065	Temperate
IMGVR_UViG_3300044992_000098	Temperate
IMGVR_UViG_3300045098_000067	Temperate
IMGVR_UViG_3300045100_000078	Temperate
IMGVR_UViG_3300045101_000083	Temperate
IMGVR_UViG_3300045099_000068	Temperate
IMGVR_UViG_3300045102_000069	Temperate
IMGVR_UViG_3300045103_000063	Temperate
IMGVR_UViG_3300045280_000080	Temperate
IMGVR_UViG_3300045248_000060	Temperate
IMGVR_UViG_3300045249_000070	Temperate
IMGVR_UViG_3300045281_000038	Temperate
IMGVR_UViG_3300045250_000090	Temperate
IMGVR_UViG_3300045694_000065	Temperate
IMGVR_UViG_3300045695_000057	Temperate
IMGVR_UViG_3300045808_000071	Temperate
IMGVR_UViG_3300045815_000059	Temperate
IMGVR_UViG_3300045809_000051	Temperate
IMGVR_UViG_3300045822_000038	Temperate
IMGVR_UViG_3300045179_000055	Temperate
IMGVR_UViG_3300045180_000053	Temperate
IMGVR_UViG_3300045181_000080	Temperate
IMGVR_UViG_3300048937_000079	Temperate
IMGVR_UViG_3300045190_000073	Temperate
IMGVR_UViG_3300045207_000090	Temperate
IMGVR_UViG_3300045208_000062	Temperate
IMGVR_UViG_3300045209_000087	Temperate
IMGVR_UViG_3300045210_000073	Temperate
IMGVR_UViG_3300045211_000045	Temperate
IMGVR_UViG_3300045212_000050	Temperate
IMGVR_UViG_3300045234_000049	Temperate
IMGVR_UViG_3300045235_000089	Temperate
IMGVR_UViG_3300045236_000054	Temperate
IMGVR_UViG_3300045237_000097	Temperate
IMGVR_UViG_3300045238_000057	Temperate
IMGVR_UViG_3300045239_000083	Temperate
IMGVR_UViG_3300044931_000092	Temperate
IMGVR_UViG_3300044935_000088	Temperate
IMGVR_UViG_3300044936_000070	Temperate
IMGVR_UViG_3300044937_000081	Temperate
IMGVR_UViG_3300044938_000108	Temperate
IMGVR_UViG_3300045093_000047	Temperate
IMGVR_UViG_3300045168_000078	Temperate
IMGVR_UViG_3300045169_000095	Temperate
IMGVR_UViG_3300045170_000103	Temperate
IMGVR_UViG_3300045193_000130	Temperate
IMGVR_UViG_3300045189_000111	Temperate
