Table S2. Metadata of 1839 filtered phage genomes.							
UViGs	Viral OTUs	Virulence genes	Isolation Source	Country	Bit Score	E-value	Identities
IMGVR_UViG_3300018470_000077	vOTU_03372310	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	869.766	0	48.1402763
IMGVR_UViG_3300018488_000300	vOTU_03379797	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	304.679	4.32148e-86	26.40086207
IMGVR_UViG_3300032576_000184	vOTU_00574026	mgtB	Host-associated;Mammals;Digestive system;Stomach	North America	277.715	5.42978e-77	28.85821832
IMGVR_UViG_2061766007_004289	vOTU_08595226	SPVA/B	Host-associated;Mammals;Digestive system;Stomach	North America	61.2326	5.38681e-06	30.27522936
IMGVR_UViG_3300009869_000141	vOTU_02325220	araB	Host-associated;Mammals;Digestive system;Stomach	North America	290.041	3.91655e-87	33.15118397
IMGVR_UViG_3300010266_000216	vOTU_00220404	sitC	Host-associated;Mammals;Digestive system;Large intestine	North America	488.804	3.35369e-173	86.17021277
IMGVR_UViG_3300010266_000361	vOTU_08577594	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	289.271	1.23931e-80	28.34850455
IMGVR_UViG_3300012823_000032	vOTU_08583074	iacP	Host-associated;Birds;Digestive system;Large intestine	North America	51.9878	6.44047e-06	32.05128205
IMGVR_UViG_3300011989_000452	vOTU_02623700	mgtB	Host-associated;Mammals;Digestive system;Stomach	North America	293.508	8.45488e-88	42.09115282
IMGVR_UViG_3300012007_000007	vOTU_02630828	iacP	Host-associated;Mammals;Digestive system;Stomach	North America	51.2174	1.19595e-06	36.11111111
IMGVR_UViG_3300027374_000447	vOTU_01175142	mgtB	Host-associated;Mammals;Digestive system;Large intestine	Europe	209.534	1.74494e-52	26.69735328
IMGVR_UViG_3300005461_000861	vOTU_01175926	mgtB	Host-associated;Mammals;Digestive system;Large intestine	Europe	209.534	1.75596e-52	26.69735328
IMGVR_UViG_3300027542_000673	vOTU_01175926	mgtB	Host-associated;Mammals;Digestive system;Large intestine	Europe	209.534	1.74494e-52	26.69735328
IMGVR_UViG_3300005460_000696	vOTU_01175142	mgtB	Host-associated;Mammals;Digestive system;Large intestine	Europe	209.534	1.75596e-52	26.69735328
IMGVR_UViG_3300035427_000071	vOTU_06509477	mgtB	Host-associated;Mammals;Digestive system;Large intestine	Europe	215.698	1.37811e-54	26.87427912
IMGVR_UViG_3300001598_000033	vOTU_00877056	fliC	Host-associated;Mammals;Digestive system;Large intestine	Europe	89.3521	4.07592e-16	52.38095238
IMGVR_UViG_3300028833_000004	vOTU_00492445	mgtC	Host-associated;Mammals;Digestive system;Stomach	Oceania	97.8265	2.1156e-22	43.90243902
IMGVR_UViG_3300031992_000206	vOTU_00492445	mgtC	Host-associated;Mammals;Digestive system;Stomach	Oceania	97.8265	2.1156e-22	43.90243902
IMGVR_UViG_3300028591_005754	vOTU_04923727	iacP	Host-associated;Mammals;Digestive system;Stomach	Oceania	51.6026	8.52353e-07	32.91139241
IMGVR_UViG_3300028591_003694	vOTU_04927241	mgtB	Host-associated;Mammals;Digestive system;Stomach	Oceania	207.223	2.95175e-52	26.4556962
IMGVR_UViG_3300028591_006923	vOTU_04927311	mgtC	Host-associated;Mammals;Digestive system;Stomach	Oceania	98.2117	3.00555e-22	42.65734266
IMGVR_UViG_3300024342_002235	vOTU_00493848	mgtC	Host-associated;Mammals;Digestive system;Stomach	Oceania	114.39	1.09633e-28	46.77419355
IMGVR_UViG_3300024342_001206	vOTU_00492445	mgtC	Host-associated;Mammals;Digestive system;Stomach	Oceania	97.8265	2.1156e-22	43.90243902
IMGVR_UViG_3300024345_001394	vOTU_00497840	mgtC	Host-associated;Mammals;Digestive system;Stomach	Oceania	98.5969	1.72889e-22	45.04504505
IMGVR_UViG_3300002641_001131	vOTU_00855018	misL	Host-associated;Mammals;Digestive system;Stomach	Oceania	70.4774	1.27723e-08	54.43037975
IMGVR_UViG_3300001486_000094	vOTU_00855018	misL	Host-associated;Mammals;Digestive system;Stomach	Oceania	70.4774	1.27723e-08	54.43037975
IMGVR_UViG_3300021431_000076	vOTU_00854482	misL	Host-associated;Mammals;Digestive system;Stomach	Oceania	70.8626	1.1301e-08	54.43037975
IMGVR_UViG_3300021255_005780	vOTU_03878994	mgtB	Host-associated;Mammals;Digestive system;Stomach	Oceania	250.366	2.23261e-67	29.79041916
IMGVR_UViG_3300035429_000143	vOTU_01175926	mgtB	Host-associated;Mammals;Digestive system;Large intestine	Europe	208.379	4.0686e-52	26.69735328
IMGVR_UViG_3300028832_005410	vOTU_04984857	araB	Host-associated;Mammals;Digestive system;Stomach	Oceania	141.354	1.09642e-35	47.5862069
IMGVR_UViG_3300019373_000247	vOTU_03398865	mgtC	Host-associated;Mammals;Digestive system;Large intestine	North America	103.605	1.72891e-23	47.9338843
IMGVR_UViG_3300019374_000256	vOTU_00601885	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	269.626	1.29713e-73	29.89417989
IMGVR_UViG_3300018878_005614	vOTU_04075168	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	311.997	8.39191e-89	29.73977695
IMGVR_UViG_3300023371_004529	vOTU_04075168	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	311.997	8.39191e-89	29.73977695
IMGVR_UViG_3300024272_005596	vOTU_04075168	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	311.997	8.39191e-89	29.73977695
IMGVR_UViG_3300018494_004855	vOTU_04075168	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	311.997	8.39191e-89	29.73977695
IMGVR_UViG_3300022661_003942	vOTU_04075168	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	311.997	8.39191e-89	29.73977695
IMGVR_UViG_3300024269_004768	vOTU_04075168	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	311.997	8.39191e-89	29.73977695
IMGVR_UViG_3300018475_004704	vOTU_04075168	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	308.145	2.3507e-87	29.61586121
IMGVR_UViG_3300024270_005006	vOTU_04075168	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	311.997	8.39191e-89	29.73977695
IMGVR_UViG_3300018495_004578	vOTU_04075168	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	311.997	8.39191e-89	29.73977695
IMGVR_UViG_3300022660_003241	vOTU_03382749	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	207.994	3.29663e-52	25
IMGVR_UViG_3300022660_000179	vOTU_04075168	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	311.997	8.39191e-89	29.73977695
IMGVR_UViG_3300024268_004675	vOTU_03382749	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	207.994	3.29663e-52	25
IMGVR_UViG_3300024268_004826	vOTU_04075168	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	311.997	8.39191e-89	29.73977695
IMGVR_UViG_3300018493_004190	vOTU_03382749	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	207.994	3.29663e-52	25
IMGVR_UViG_3300018493_004395	vOTU_04075168	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	311.997	8.39191e-89	29.73977695
IMGVR_UViG_3300022753_003554	vOTU_04075168	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	311.997	8.39191e-89	29.73977695
IMGVR_UViG_3300022753_003096	vOTU_04110198	mgtC	Host-associated;Mammals;Digestive system;Large intestine	North America	143.665	8.65884e-39	37.87878788
IMGVR_UViG_3300024303_004375	vOTU_04075168	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	311.997	8.39191e-89	29.73977695
IMGVR_UViG_3300036369_000020	vOTU_00566608	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	250.751	2.22436e-67	28.57142857
IMGVR_UViG_3300032128_000018	vOTU_00566608	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	289.656	3.20687e-80	28.40375587
IMGVR_UViG_3300036370_000023	vOTU_00566608	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	289.656	3.20687e-80	28.40375587
IMGVR_UViG_3300036438_000106	vOTU_00601885	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	269.626	1.29713e-73	29.89417989
IMGVR_UViG_3300032147_000017	vOTU_00566608	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	289.656	2.8177e-80	28.40375587
IMGVR_UViG_3300037699_000020	vOTU_00566608	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	289.656	2.8177e-80	28.40375587
IMGVR_UViG_3300037694_000046	vOTU_00566608	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	289.656	3.20687e-80	28.40375587
IMGVR_UViG_3300031790_000076	vOTU_00566608	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	236.113	2.09971e-62	28.76304024
IMGVR_UViG_3300036291_000018	vOTU_00566608	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	289.271	3.96622e-80	28.40375587
IMGVR_UViG_3300037700_000038	vOTU_00566608	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	289.656	3.20687e-80	28.40375587
IMGVR_UViG_3300036292_000013	vOTU_00566608	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	289.271	3.79737e-80	28.40375587
IMGVR_UViG_3300030640_000323	vOTU_00550623	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	256.144	2.50547e-68	27.03659976
IMGVR_UViG_3300036550_000064	vOTU_00601885	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	269.626	1.29713e-73	29.89417989
IMGVR_UViG_3300036470_000067	vOTU_00601885	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	269.626	1.29713e-73	29.89417989
IMGVR_UViG_3300036471_000084	vOTU_00601885	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	269.626	1.29713e-73	29.89417989
IMGVR_UViG_3300023705_000145	vOTU_00601885	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	269.626	1.29713e-73	29.89417989
IMGVR_UViG_3300021306_000119	vOTU_03885493	sitC	Host-associated;Mammals;Digestive system;Large intestine	North America	113.235	2.29147e-25	30.38869258
IMGVR_UViG_3300010261_000167	vOTU_02883393	sitC	Host-associated;Mammals;Digestive system;Large intestine	North America	181.8	2.36814e-52	38.40304183
IMGVR_UViG_3300010280_000349	vOTU_02383660	mgtB	Host-associated;Mammals;Digestive system;Large intestine	North America	207.608	5.15934e-52	26.96629213
IMGVR_UViG_3300010275_000173	vOTU_00220206	sitC	Host-associated;Mammals;Digestive system;Large intestine	North America	488.804	3.35369e-173	86.17021277
IMGVR_UViG_3300010262_000174	vOTU_00220404	sitC	Host-associated;Mammals;Digestive system;Large intestine	North America	488.804	3.35369e-173	86.17021277
IMGVR_UViG_3300014024_000065	vOTU_02830368	sitC	Host-associated;Mammals: Human;Digestive system;Oral cavity	North America	153.68	1.79813e-41	30.71161049
IMGVR_UViG_3300007120_000087	vOTU_01627344	mgtB	Host-associated;Human;Digestive system;Oral cavity	North America	229.95	2.41362e-61	30.40123457
IMGVR_UViG_3300008755_000204	vOTU_01469361	sitC	Host-associated;Mammals: Human;Digestive system;Pharynx/Throat	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_7000000109_000219	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_3300007107_000299	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_3300007107_000268	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_3300007300_000195	vOTU_01657530	mgtB	Host-associated;Human;Digestive system;Oral cavity	North America	718.768	0	43.06651635
IMGVR_UViG_7000000128_000321	vOTU_01787050	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_3300007125_000359	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_7000000276_000109	vOTU_01787050	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_3300006254_000191	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_3300008715_000361	vOTU_01410492	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	122.479	8.41221e-29	28.0141844
IMGVR_UViG_7000000741_000107	vOTU_08513580	mgtB	Host-associated;Human;Digestive system;Oral cavity	North America	216.083	7.12956e-55	27.67624021
IMGVR_UViG_3300008518_000126	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_7000000508_000332	vOTU_00688777	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_3300008734_000229	vOTU_01958063	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_3300007979_000148	vOTU_01782705	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_7000000393_000190	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_3300008537_000185	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_7000000001_000224	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_3300006289_000219	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_7000000422_000277	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_3300008611_000325	vOTU_01950953	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	345.895	8.50222e-117	60.9929078
IMGVR_UViG_3300008611_000284	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_7000000042_000179	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_3300006477_000194	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_7000000025_000259	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_3300006678_000241	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_7000000342_000175	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_3300008091_000195	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_7000000073_000236	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_7000000073_000190	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_3300006524_000296	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_7000000405_000184	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_3300008581_000206	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_7000000086_000171	vOTU_01787050	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_7000000127_000260	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_3300007124_000139	vOTU_01627898	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	162.155	9.59541e-45	30.85501859
IMGVR_UViG_3300007124_000295	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_3300007186_000166	vOTU_01635780	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	118.627	2.33345e-27	28.0141844
IMGVR_UViG_3300008283_000172	vOTU_01915447	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	127.872	8.75457e-31	28.62068966
IMGVR_UViG_7000000527_000127	vOTU_08507723	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_3300008269_000176	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_7000000351_000171	vOTU_01787098	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_3300007966_000181	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_7000000503_000216	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_3300008136_000405	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_7000000604_000210	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.16778e-61	40.433213
IMGVR_UViG_3300008138_000306	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_3300008636_000127	vOTU_01782783	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	7.71365e-61	40.433213
IMGVR_UViG_3300007079_000147	vOTU_01624413	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	125.946	3.82036e-30	29.43262411
IMGVR_UViG_3300008273_000217	vOTU_01469361	sitC	Host-associated;Human;Digestive system;Oral cavity	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_3300008057_000050	vOTU_01800861	mgtB	Host-associated;Human;Digestive system;Oral cavity	North America	409.068	5.5028e-130	45.63894523
IMGVR_UViG_3300011982_000511	vOTU_01787044	sitC	Host-associated;Human;Digestive system;Oral cavity	Asia	204.142	8.41033e-61	40.433213
IMGVR_UViG_7000000523_000132	vOTU_08507556	mgtB	Host-associated;Mammals: Human;Lymphatic system;Tonsils	North America	279.641	9.2385e-81	34.19483101
IMGVR_UViG_3300008754_000140	vOTU_01469361	sitC	Host-associated;Mammals: Human;Lymphatic system;Tonsils	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_3300012459_000004	vOTU_01469394	sitC	Host-associated;Mammals: Human;Integumentary system;Skin	North America	204.142	8.41033e-61	40.433213
IMGVR_UViG_3300013214_000002	vOTU_02604630	misL	Host-associated;Mammals: Human;Integumentary system;Skin	North America	100.523	7.59871e-18	26.98113208
IMGVR_UViG_3300030311_000018	vOTU_00220404	sitC	Host-associated;Human;Digestive system;Large intestine	North America	488.804	3.23378e-173	86.17021277
IMGVR_UViG_3300023491_000177	vOTU_04244611	araB	Host-associated;Mammals: Human;Digestive system;Large intestine	North America	104.375	1.08036e-20	27.37752161
IMGVR_UViG_3300023497_000303	vOTU_08579022	araB	Host-associated;Mammals: Human;Digestive system;Large intestine	North America	80.8777	1.82488e-12	21.35036496
IMGVR_UViG_3300023719_000262	vOTU_08579022	araB	Host-associated;Mammals: Human;Digestive system;Large intestine	North America	80.8777	1.82488e-12	21.35036496
IMGVR_UViG_3300023721_000130	vOTU_04248421	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	North America	297.36	9.46337e-84	28.30930537
IMGVR_UViG_3300023493_000249	vOTU_04244907	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	North America	892.493	0	48.77789586
IMGVR_UViG_3300023488_000135	vOTU_01747125	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	North America	299.286	2.16123e-84	30.83756345
IMGVR_UViG_3300023498_000278	vOTU_01860559	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	North America	326.25	6.03634e-94	32.07301173
IMGVR_UViG_3300023499_000140	vOTU_04245620	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	North America	297.745	9.59043e-84	28.25836217
IMGVR_UViG_3300023495_000153	vOTU_00236848	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	North America	207.608	5.11977e-52	26.96629213
IMGVR_UViG_3300029343_000405	vOTU_05106400	mgtB	Host-associated;Human;Digestive system;Large intestine	North America	301.212	3.87356e-85	31.35483871
IMGVR_UViG_3300029336_000384	vOTU_08576735	mgtB	Host-associated;Human;Digestive system;Large intestine	North America	298.516	3.27668e-84	28.30930537
IMGVR_UViG_3300029441_000398	vOTU_08576735	mgtB	Host-associated;Human;Digestive system;Large intestine	North America	298.516	3.27668e-84	28.30930537
IMGVR_UViG_3300029431_000155	vOTU_01431948	mgtB	Host-associated;Human;Digestive system;Large intestine	North America	633.639	0	39.7336293
IMGVR_UViG_3300029776_000243	vOTU_05115452	mgtB	Host-associated;Human;Digestive system;Large intestine	North America	207.994	3.46889e-53	26.18705036
IMGVR_UViG_3300029776_000157	vOTU_00747363	mgtB	Host-associated;Human;Digestive system;Large intestine	North America	633.639	0	39.7336293
IMGVR_UViG_3300029776_000257	vOTU_03372310	mgtB	Host-associated;Human;Digestive system;Large intestine	North America	874.389	0	48.45908608
IMGVR_UViG_3300029335_000189	vOTU_00747363	mgtB	Host-associated;Human;Digestive system;Large intestine	North America	454.907	2.77351e-147	46.9043152
IMGVR_UViG_3300029335_000301	vOTU_01016127	mgtB	Host-associated;Human;Digestive system;Large intestine	North America	297.745	6.44743e-84	28.30930537
IMGVR_UViG_3300029335_000003	vOTU_01628836	mgtC	Host-associated;Human;Digestive system;Large intestine	North America	95.9005	1.29063e-20	40.625
IMGVR_UViG_3300029785_000218	vOTU_00747363	mgtB	Host-associated;Human;Digestive system;Large intestine	North America	633.639	0	39.7336293
IMGVR_UViG_3300029785_000185	vOTU_00218231	mgtC	Host-associated;Human;Digestive system;Large intestine	North America	95.9005	1.29063e-20	40.625
IMGVR_UViG_3300029764_000204	vOTU_01403901	mgtB	Host-associated;Human;Digestive system;Large intestine	North America	872.078	0	48.24654623
IMGVR_UViG_3300029424_000190	vOTU_05114597	mgtB	Host-associated;Human;Digestive system;Large intestine	North America	881.708	0	48.03400638
IMGVR_UViG_3300029432_000304	vOTU_05115331	mgtB	Host-associated;Human;Digestive system;Large intestine	North America	370.548	2.63536e-117	53.94321767
IMGVR_UViG_3300029784_000216	vOTU_05115331	mgtB	Host-associated;Human;Digestive system;Large intestine	North America	370.548	2.63536e-117	53.94321767
IMGVR_UViG_3300029361_000293	vOTU_05108156	mgtB	Host-associated;Human;Digestive system;Large intestine	North America	755.362	0	51.63584637
IMGVR_UViG_3300029361_000310	vOTU_00236848	mgtB	Host-associated;Human;Digestive system;Large intestine	North America	207.608	5.11977e-52	26.96629213
