Table S11. Phage AMGs identified by DRAMV.												
Viral gene ID	Viral ID	Gene Pos	Start Pos	End Pos	Strandedness	Rank	KEGG ID	KEGG Hit	Auxiliary Score	Transposon	AMG Flags	AMG
IMGVR_UViG_3300001598_000033_3300001598_EMG_10000054__full-cat_1_11	IMGVR_UViG_3300001598_000033_3300001598_EMG_10000054__full-cat_1	11	6136	8250	1	C	K21636	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]	2	FALSE	MKE	AMG
IMGVR_UViG_3300001598_000033_3300001598_EMG_10000054__full-cat_1_23	IMGVR_UViG_3300001598_000033_3300001598_EMG_10000054__full-cat_1	23	"16,600"	"17,352"	1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300001598_000033_3300001598_EMG_10000054__full-cat_1_31	IMGVR_UViG_3300001598_000033_3300001598_EMG_10000054__full-cat_1	31	"24,056"	"24,847"	-1	D			2	FALSE	M	AMG
IMGVR_UViG_3300001598_000033_3300001598_EMG_10000054__full-cat_1_39	IMGVR_UViG_3300001598_000033_3300001598_EMG_10000054__full-cat_1	39	"31,461"	"32,312"	1	C	K02406	flagellin	1	FALSE	M	AMG
IMGVR_UViG_3300008519_000001_3300008519_Ga0111037_100684__full-cat_1_12	IMGVR_UViG_3300008519_000001_3300008519_Ga0111037_100684__full-cat_1	12	5561	7015	-1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	2	FALSE	M	AMG
IMGVR_UViG_3300010163_001363_3300010163_Ga0136175_10002779__full-cat_1_34	IMGVR_UViG_3300010163_001363_3300010163_Ga0136175_10002779__full-cat_1	34	"18,570"	"19,826"	1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	2	FALSE	M	AMG
IMGVR_UViG_3300013830_000222_3300013830_Ga0120377_1000205__full-cat_1_70	IMGVR_UViG_3300013830_000222_3300013830_Ga0120377_1000205__full-cat_1	70	"60,343"	"61,416"	1	C	K00789	S-adenosylmethionine synthetase [EC:2.5.1.6]	2	FALSE	MF	AMG
IMGVR_UViG_3300019370_000186_3300019370_Ga0196862_168264__full-cat_1_42	IMGVR_UViG_3300019370_000186_3300019370_Ga0196862_168264__full-cat_1	42	"29,538"	"29,963"	-1	D			2	FALSE	M	AMG
IMGVR_UViG_3300019370_000186_3300019370_Ga0196862_168264__full-cat_1_59	IMGVR_UViG_3300019370_000186_3300019370_Ga0196862_168264__full-cat_1	59	"44,317"	"45,240"	-1	C	K01990	ABC-2 type transport system ATP-binding protein	2	FALSE	M	AMG
IMGVR_UViG_3300021399_000103_3300021399_Ga0224415_10000061__full-cat_1_66	IMGVR_UViG_3300021399_000103_3300021399_Ga0224415_10000061__full-cat_1	66	"76,615"	"78,810"	1	D			1	FALSE	MK	AMG
IMGVR_UViG_3300021399_000103_3300021399_Ga0224415_10000061__full-cat_1_68	IMGVR_UViG_3300021399_000103_3300021399_Ga0224415_10000061__full-cat_1	68	"81,816"	"84,152"	1	D			1	FALSE	MK	AMG
IMGVR_UViG_3300021399_000103_3300021399_Ga0224415_10000061__full-cat_1_86	IMGVR_UViG_3300021399_000103_3300021399_Ga0224415_10000061__full-cat_1	86	"97,581"	"98,126"	-1	C	K01520	dUTP pyrophosphatase [EC:3.6.1.23]	1	FALSE	M	AMG
IMGVR_UViG_3300021399_000103_3300021399_Ga0224415_10000061__full-cat_1_94	IMGVR_UViG_3300021399_000103_3300021399_Ga0224415_10000061__full-cat_1	94	"100,500"	"102,758"	-1	C	K21636	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]	1	FALSE	MKE	AMG
IMGVR_UViG_3300021399_000103_3300021399_Ga0224415_10000061__full-cat_1_95	IMGVR_UViG_3300021399_000103_3300021399_Ga0224415_10000061__full-cat_1	95	"102,816"	"103,421"	-1	D			1	FALSE	MK	AMG
IMGVR_UViG_3300021400_000126_3300021400_Ga0224422_12422352__full-cat_1_16	IMGVR_UViG_3300021400_000126_3300021400_Ga0224422_12422352__full-cat_1	16	"13,582"	"14,022"	1	C	K01520	dUTP pyrophosphatase [EC:3.6.1.23]	2	FALSE	M	AMG
IMGVR_UViG_3300021400_000134_3300021400_Ga0224422_12578866__full-cat_1_233	IMGVR_UViG_3300021400_000134_3300021400_Ga0224422_12578866__full-cat_1	233	"134,260"	"134,805"	-1	C	K01520	dUTP pyrophosphatase [EC:3.6.1.23]	2	FALSE	M	AMG
IMGVR_UViG_3300021400_000134_3300021400_Ga0224422_12578866__full-cat_1_239	IMGVR_UViG_3300021400_000134_3300021400_Ga0224422_12578866__full-cat_1	239	"137,471"	"139,753"	-1	C	K21636	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]	2	FALSE	MKE	AMG
IMGVR_UViG_3300021400_000134_3300021400_Ga0224422_12578866__full-cat_1_240	IMGVR_UViG_3300021400_000134_3300021400_Ga0224422_12578866__full-cat_1	240	"139,832"	"140,410"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300021400_001206_3300021400_Ga0224422_11925167__full-cat_1_229	IMGVR_UViG_3300021400_001206_3300021400_Ga0224422_11925167__full-cat_1	229	"120,061"	"121,536"	1	C	"K07192,K07192"	flotillin; flotillin	2	FALSE	MKP	AMG
IMGVR_UViG_3300028591_000099_3300028591_Ga0247611_10000113__full-cat_1_171	IMGVR_UViG_3300028591_000099_3300028591_Ga0247611_10000113__full-cat_1	171	"103,113"	"103,658"	-1	C	K01520	dUTP pyrophosphatase [EC:3.6.1.23]	1	FALSE	M	AMG
IMGVR_UViG_3300028591_000099_3300028591_Ga0247611_10000113__full-cat_1_178	IMGVR_UViG_3300028591_000099_3300028591_Ga0247611_10000113__full-cat_1	178	"105,608"	"107,821"	-1	C	K21636	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]	1	FALSE	MKE	AMG
IMGVR_UViG_3300028833_000004_3300028833_Ga0247610_10000074__full-cat_1_147	IMGVR_UViG_3300028833_000004_3300028833_Ga0247610_10000074__full-cat_1	147	"87,732"	"89,885"	1	C	K21636	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]	2	FALSE	MKE	AMG
IMGVR_UViG_3300028833_000004_3300028833_Ga0247610_10000074__full-cat_1_157	IMGVR_UViG_3300028833_000004_3300028833_Ga0247610_10000074__full-cat_1	157	"92,370"	"92,846"	1	C	K01520	dUTP pyrophosphatase [EC:3.6.1.23]	2	FALSE	M	AMG
IMGVR_UViG_3300028833_000004_3300028833_Ga0247610_10000074__full-cat_1_242	IMGVR_UViG_3300028833_000004_3300028833_Ga0247610_10000074__full-cat_1	242	"145,937"	"146,545"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300035501_000524_3300035501_Ga0376455_0000007__full-cat_1_12	IMGVR_UViG_3300035501_000524_3300035501_Ga0376455_0000007__full-cat_1	12	"10,165"	"11,424"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300035501_000524_3300035501_Ga0376455_0000007__full-cat_1_16	IMGVR_UViG_3300035501_000524_3300035501_Ga0376455_0000007__full-cat_1	16	"12,652"	"14,148"	-1	C	"K07192,K07192"	flotillin; flotillin	2	FALSE	MKP	AMG
IMGVR_UViG_3300035501_000524_3300035501_Ga0376455_0000007__full-cat_1_57	IMGVR_UViG_3300035501_000524_3300035501_Ga0376455_0000007__full-cat_1	57	"40,691"	"41,914"	-1	C	K21471	peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-]	2	FALSE	MKP	AMG
IMGVR_UViG_3300035501_000524_3300035501_Ga0376455_0000007__full-cat_1_170	IMGVR_UViG_3300035501_000524_3300035501_Ga0376455_0000007__full-cat_1	170	"147,697"	"148,272"	-1	C	K01520	dUTP pyrophosphatase [EC:3.6.1.23]	2	FALSE	M	AMG
IMGVR_UViG_3300035501_000524_3300035501_Ga0376455_0000007__full-cat_1_175	IMGVR_UViG_3300035501_000524_3300035501_Ga0376455_0000007__full-cat_1	175	"149,809"	"152,061"	-1	C	K21636	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]	2	FALSE	MKE	AMG
IMGVR_UViG_3300035501_000524_3300035501_Ga0376455_0000007__full-cat_1_176	IMGVR_UViG_3300035501_000524_3300035501_Ga0376455_0000007__full-cat_1	176	"152,150"	"152,707"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300035502_000460_3300035502_Ga0376456_0000009__full-cat_1_12	IMGVR_UViG_3300035502_000460_3300035502_Ga0376456_0000009__full-cat_1	12	"10,183"	"11,442"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300035502_000460_3300035502_Ga0376456_0000009__full-cat_1_16	IMGVR_UViG_3300035502_000460_3300035502_Ga0376456_0000009__full-cat_1	16	"12,670"	"14,166"	-1	C	"K07192,K07192"	flotillin; flotillin	2	FALSE	MKP	AMG
IMGVR_UViG_3300035502_000460_3300035502_Ga0376456_0000009__full-cat_1_57	IMGVR_UViG_3300035502_000460_3300035502_Ga0376456_0000009__full-cat_1	57	"40,709"	"41,932"	-1	C	K21471	peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-]	2	FALSE	MKP	AMG
IMGVR_UViG_3300035502_000460_3300035502_Ga0376456_0000009__full-cat_1_170	IMGVR_UViG_3300035502_000460_3300035502_Ga0376456_0000009__full-cat_1	170	"147,715"	"148,290"	-1	C	K01520	dUTP pyrophosphatase [EC:3.6.1.23]	2	FALSE	M	AMG
IMGVR_UViG_3300035502_000460_3300035502_Ga0376456_0000009__full-cat_1_175	IMGVR_UViG_3300035502_000460_3300035502_Ga0376456_0000009__full-cat_1	175	"149,827"	"152,079"	-1	C	K21636	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]	2	FALSE	MKE	AMG
IMGVR_UViG_3300035502_000460_3300035502_Ga0376456_0000009__full-cat_1_176	IMGVR_UViG_3300035502_000460_3300035502_Ga0376456_0000009__full-cat_1	176	"152,168"	"152,725"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300035520_000608_3300035520_Ga0376475_0000058__full-cat_1_5	IMGVR_UViG_3300035520_000608_3300035520_Ga0376475_0000058__full-cat_1	5	2256	2702	1	C	K01520	dUTP pyrophosphatase [EC:3.6.1.23]	2	FALSE	MF	AMG
IMGVR_UViG_3300036769_000253_3300036769_Ga0376457_0000005__full-cat_1_46	IMGVR_UViG_3300036769_000253_3300036769_Ga0376457_0000005__full-cat_1	46	"27,797"	"29,020"	1	C	K21471	peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-]	2	FALSE	MKP	AMG
IMGVR_UViG_3300036769_000253_3300036769_Ga0376457_0000005__full-cat_1_87	IMGVR_UViG_3300036769_000253_3300036769_Ga0376457_0000005__full-cat_1	87	"55,563"	"57,059"	1	C	"K07192,K07192"	flotillin; flotillin	2	FALSE	MKP	AMG
IMGVR_UViG_3300036769_000253_3300036769_Ga0376457_0000005__full-cat_1_91	IMGVR_UViG_3300036769_000253_3300036769_Ga0376457_0000005__full-cat_1	91	"58,287"	"59,546"	1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300036769_000253_3300036769_Ga0376457_0000005__full-cat_1_130	IMGVR_UViG_3300036769_000253_3300036769_Ga0376457_0000005__full-cat_1	130	"92,515"	"93,072"	1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300036769_000253_3300036769_Ga0376457_0000005__full-cat_1_131	IMGVR_UViG_3300036769_000253_3300036769_Ga0376457_0000005__full-cat_1	131	"93,161"	"95,413"	1	C	K21636	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]	2	FALSE	MKE	AMG
IMGVR_UViG_3300036769_000253_3300036769_Ga0376457_0000005__full-cat_1_136	IMGVR_UViG_3300036769_000253_3300036769_Ga0376457_0000005__full-cat_1	136	"96,950"	"97,525"	1	C	K01520	dUTP pyrophosphatase [EC:3.6.1.23]	2	FALSE	M	AMG
IMGVR_UViG_3300043080_000191_3300043080_Ga0484759_000004__full-cat_1_68	IMGVR_UViG_3300043080_000191_3300043080_Ga0484759_000004__full-cat_1	68	"77,764"	"78,339"	-1	C	K01520	dUTP pyrophosphatase [EC:3.6.1.23]	2	FALSE	M	AMG
IMGVR_UViG_3300043080_000191_3300043080_Ga0484759_000004__full-cat_1_73	IMGVR_UViG_3300043080_000191_3300043080_Ga0484759_000004__full-cat_1	73	"79,876"	"82,128"	-1	C	K21636	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]	2	FALSE	MKE	AMG
IMGVR_UViG_3300043080_000191_3300043080_Ga0484759_000004__full-cat_1_74	IMGVR_UViG_3300043080_000191_3300043080_Ga0484759_000004__full-cat_1	74	"82,217"	"82,774"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300043080_000191_3300043080_Ga0484759_000004__full-cat_1_113	IMGVR_UViG_3300043080_000191_3300043080_Ga0484759_000004__full-cat_1	113	"115,742"	"117,001"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300043080_000191_3300043080_Ga0484759_000004__full-cat_1_117	IMGVR_UViG_3300043080_000191_3300043080_Ga0484759_000004__full-cat_1	117	"118,229"	"119,725"	-1	C	"K07192,K07192"	flotillin; flotillin	2	FALSE	MKP	AMG
IMGVR_UViG_3300043080_000191_3300043080_Ga0484759_000004__full-cat_1_158	IMGVR_UViG_3300043080_000191_3300043080_Ga0484759_000004__full-cat_1	158	"146,268"	"147,491"	-1	C	K21471	peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-]	2	FALSE	MKP	AMG
IMGVR_UViG_3300043105_000140_3300043105_Ga0484758_000003__full-cat_1_48	IMGVR_UViG_3300043105_000140_3300043105_Ga0484758_000003__full-cat_1	48	"28,929"	"30,152"	1	C	K21471	peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-]	2	FALSE	MKP	AMG
IMGVR_UViG_3300043105_000140_3300043105_Ga0484758_000003__full-cat_1_89	IMGVR_UViG_3300043105_000140_3300043105_Ga0484758_000003__full-cat_1	89	"56,695"	"58,191"	1	C	"K07192,K07192"	flotillin; flotillin	2	FALSE	MKP	AMG
IMGVR_UViG_3300043105_000140_3300043105_Ga0484758_000003__full-cat_1_93	IMGVR_UViG_3300043105_000140_3300043105_Ga0484758_000003__full-cat_1	93	"59,419"	"60,678"	1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300043105_000140_3300043105_Ga0484758_000003__full-cat_1_132	IMGVR_UViG_3300043105_000140_3300043105_Ga0484758_000003__full-cat_1	132	"93,647"	"94,204"	1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300043105_000140_3300043105_Ga0484758_000003__full-cat_1_133	IMGVR_UViG_3300043105_000140_3300043105_Ga0484758_000003__full-cat_1	133	"94,293"	"96,545"	1	C	K21636	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]	2	FALSE	MKE	AMG
IMGVR_UViG_3300043105_000140_3300043105_Ga0484758_000003__full-cat_1_138	IMGVR_UViG_3300043105_000140_3300043105_Ga0484758_000003__full-cat_1	138	"98,082"	"98,657"	1	C	K01520	dUTP pyrophosphatase [EC:3.6.1.23]	2	FALSE	M	AMG
IMGVR_UViG_3300018063_000004_3300018063_Ga0184637_10000070__full-cat_1_50	IMGVR_UViG_3300018063_000004_3300018063_Ga0184637_10000070__full-cat_1	50	"29,249"	"29,506"	-1	C	K02078	acyl carrier protein	2	FALSE	MK	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_25	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	25	"13,972"	"14,730"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_27	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	27	"15,046"	"15,480"	-1	C	K01520	dUTP pyrophosphatase [EC:3.6.1.23]	2	FALSE	M	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_32	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	32	"17,062"	"17,826"	-1	C	K01265	methionyl aminopeptidase [EC:3.4.11.18]	2	FALSE	M	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_34	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	34	"18,581"	"19,603"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_36	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	36	"19,905"	"20,276"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_48	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	48	"26,636"	"27,361"	-1	C	K01619	deoxyribose-phosphate aldolase [EC:4.1.2.4]	2	FALSE	MK	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_237	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	237	"115,184"	"116,587"	1	C	K03462	nicotinamide phosphoribosyltransferase [EC:2.4.2.12]	2	FALSE	MK	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_243	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	243	"120,423"	"121,088"	1	C	K01951	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	2	FALSE	MP	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_279	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	279	"151,947"	"152,882"	-1	C	K06900	uncharacterized protein	2	FALSE	MK	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_281	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	281	"153,169"	"153,687"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_285	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	285	"156,394"	"157,056"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_291	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	291	"161,634"	"162,143"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_292	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	292	"162,130"	"162,846"	-1	C	K06217	phosphate starvation-inducible protein PhoH and related proteins	2	FALSE	MK	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_331	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	331	"185,897"	"186,802"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_336	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	336	"190,351"	"191,313"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_338	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	338	"191,935"	"193,068"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_339	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	339	"193,068"	"194,408"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_356	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	356	"207,081"	"207,929"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1_396	IMGVR_UViG_3300022719_000329_3300022719_Ga0248485_1000019__full-cat_1	396	"273,296"	"273,895"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300023196_000518_3300023196_Ga0255982_100321__full-cat_1_31	IMGVR_UViG_3300023196_000518_3300023196_Ga0255982_100321__full-cat_1	31	"23,750"	"25,642"	-1	C	K00527	ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]	2	FALSE	MKEF	AMG
IMGVR_UViG_3300033145_000307_3300033145_Ga0366840_1000352__full-cat_1_65	IMGVR_UViG_3300033145_000307_3300033145_Ga0366840_1000352__full-cat_1	65	"33,773"	"34,033"	-1	C	K02078	acyl carrier protein	1	FALSE	MK	AMG
IMGVR_UViG_3300033145_000307_3300033145_Ga0366840_1000352__full-cat_1_100	IMGVR_UViG_3300033145_000307_3300033145_Ga0366840_1000352__full-cat_1	100	"47,595"	"51,407"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300033148_002790_3300033148_Ga0366832_1002102__full-cat_1_32	IMGVR_UViG_3300033148_002790_3300033148_Ga0366832_1002102__full-cat_1	32	"13,624"	"13,842"	1	C	K02078	acyl carrier protein	1	FALSE	MK	AMG
IMGVR_UViG_3300033388_001820_3300033388_Ga0370355_1000065__full-cat_1_44	IMGVR_UViG_3300033388_001820_3300033388_Ga0370355_1000065__full-cat_1	44	"13,971"	"15,755"	1	C	K01006	"pyruvate, orthophosphate dikinase [EC:2.7.9.1]"	2	FALSE	MK	AMG
IMGVR_UViG_3300033388_001820_3300033388_Ga0370355_1000065__full-cat_1_116	IMGVR_UViG_3300033388_001820_3300033388_Ga0370355_1000065__full-cat_1	116	"53,161"	"53,820"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300033553_000156_3300033553_Ga0371479_10199406__full-cat_1_57	IMGVR_UViG_3300033553_000156_3300033553_Ga0371479_10199406__full-cat_1	57	"32,311"	"33,075"	-1	C	K00560	thymidylate synthase [EC:2.1.1.45]	2	FALSE	M	AMG
IMGVR_UViG_3300033553_000156_3300033553_Ga0371479_10199406__full-cat_1_60	IMGVR_UViG_3300033553_000156_3300033553_Ga0371479_10199406__full-cat_1	60	"33,931"	"35,565"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300033997_000092_3300033997_Ga0310131_000033__full-cat_1_22	IMGVR_UViG_3300033997_000092_3300033997_Ga0310131_000033__full-cat_1	22	"14,205"	"14,639"	1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300033997_000092_3300033997_Ga0310131_000033__full-cat_1_157	IMGVR_UViG_3300033997_000092_3300033997_Ga0310131_000033__full-cat_1	157	"137,412"	"138,479"	1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	1	FALSE	M	AMG
IMGVR_UViG_3300033997_000092_3300033997_Ga0310131_000033__full-cat_1_159	IMGVR_UViG_3300033997_000092_3300033997_Ga0310131_000033__full-cat_1	159	"139,291"	"140,094"	1	D			1	FALSE	MK	AMG
IMGVR_UViG_3300033997_000092_3300033997_Ga0310131_000033__full-cat_1_172	IMGVR_UViG_3300033997_000092_3300033997_Ga0310131_000033__full-cat_1	172	"149,235"	"149,861"	1	C	K00943	dTMP kinase [EC:2.7.4.9]	1	FALSE	M	AMG
IMGVR_UViG_3300033997_000243_3300033997_Ga0310131_000016__full-cat_1_383	IMGVR_UViG_3300033997_000243_3300033997_Ga0310131_000016__full-cat_1	383	"298,692"	"299,087"	-1	D			2	FALSE	MK	AMG
IMGVR_UViG_3300033997_000243_3300033997_Ga0310131_000016__full-cat_1_388	IMGVR_UViG_3300033997_000243_3300033997_Ga0310131_000016__full-cat_1	388	"300,653"	"301,288"	-1	C	K00943	dTMP kinase [EC:2.7.4.9]	2	FALSE	M	AMG
IMGVR_UViG_3300037247_001786_3300037247_Ga0392330_0000001__full-cat_1_12	IMGVR_UViG_3300037247_001786_3300037247_Ga0392330_0000001__full-cat_1	12	8702	9478	-1	C	K00969	nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	2	FALSE	MK	AMG
IMGVR_UViG_3300037247_001786_3300037247_Ga0392330_0000001__full-cat_1_68	IMGVR_UViG_3300037247_001786_3300037247_Ga0392330_0000001__full-cat_1	68	"45,099"	"46,292"	-1	C	K00763	nicotinate phosphoribosyltransferase [EC:6.3.4.21]	2	FALSE	MK	AMG
